RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.193	0.483
Akt	0.091	0.519
EGFR	0.838	0.783
ErbB2	0.503	0.098
ErbB3	0.475	0.000
ErbB4	0.000	0.465
InsR	0.587	0.980
IGF1R	0.774	0.641
IGF2R	0.624	0.000
VEGFR1	0.475	0.000
VEGFR2	0.929	0.000
VEGFR3	0.000	0.674
PDGFRa	0.124	0.000
PDGFRb	0.000	0.623
Met	0.955	0.000
cKit	0.000	0.000
EphA2	0.726	0.334
TrkA	0.000	0.000
FGFR1	0.335	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.195	0.494
EPR	0.191	0.419
BTC	0.190	0.508
HRG	0.065	0.350
INS	-0.000	0.000
IGF-1	0.125	0.489
IGF-2	0.070	0.358
PDGF-BB	0.000	0.000
HGF	0.222	0.536
SCF	0.041	0.000
FGF-1	0.164	0.159
FGF-2	0.052	0.000
NGF-beta	0.000	0.000
EFNA1	0.040	0.000
VEGF165	0.042	0.000
