RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.409	0.633
Akt	0.420	0.723
EGFR	0.705	1.000
ErbB2	0.900	0.884
ErbB3	0.839	0.909
ErbB4	0.000	0.710
InsR	0.840	0.945
IGF1R	0.422	0.598
IGF2R	0.588	0.000
VEGFR1	0.508	0.000
VEGFR2	0.000	0.733
VEGFR3	0.000	0.719
PDGFRa	0.000	0.000
PDGFRb	0.000	0.820
Met	0.764	0.000
cKit	0.000	0.498
EphA2	0.595	0.000
TrkA	0.000	0.000
FGFR1	0.536	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.189	0.316
EPR	0.193	0.346
BTC	0.180	0.413
HRG	0.179	0.513
INS	0.000	-0.000
IGF-1	-0.000	0.000
IGF-2	-0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.171	0.145
SCF	-0.000	0.000
FGF-1	0.073	0.000
FGF-2	0.082	0.000
NGF-beta	0.000	0.000
EFNA1	0.000	0.078
VEGF165	0.059	0.000
