RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.807	0.373
Akt	0.507	0.608
EGFR	0.339	0.495
ErbB2	0.732	0.320
ErbB3	1.000	0.000
ErbB4	0.000	0.552
InsR	0.884	0.950
IGF1R	0.995	1.000
IGF2R	0.457	0.000
VEGFR1	0.811	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.787
PDGFRa	0.000	0.000
PDGFRb	0.000	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.000	0.000
TrkA	0.000	0.000
FGFR1	1.000	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.882	0.000

Response (arrows)	Erk	Akt
EGF	0.535	0.097
EPR	0.468	-0.000
BTC	0.533	0.163
HRG	0.588	0.496
INS	-0.000	-0.000
IGF-1	-0.000	0.000
IGF-2	-0.000	0.000
PDGF-BB	-0.000	-0.000
HGF	-0.000	-0.000
SCF	-0.000	-0.000
FGF-1	0.482	0.000
FGF-2	0.494	0.084
NGF-beta	-0.000	-0.000
EFNA1	0.000	0.000
VEGF165	0.251	0.086
