RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.580	0.307
Akt	0.132	0.721
EGFR	0.608	0.326
ErbB2	0.623	0.172
ErbB3	0.878	0.000
ErbB4	1.000	0.430
InsR	0.620	0.825
IGF1R	0.536	0.000
IGF2R	0.402	0.000
VEGFR1	0.494	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.309	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.360	0.000
TrkA	0.000	0.000
FGFR1	0.308	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.764	0.000

Response (arrows)	Erk	Akt
EGF	0.562	0.000
EPR	0.482	-0.000
BTC	0.714	0.230
HRG	0.761	0.298
INS	-0.000	-0.000
IGF-1	0.276	0.000
IGF-2	0.297	-0.000
PDGF-BB	0.133	-0.000
HGF	-0.000	-0.000
SCF	0.230	-0.000
FGF-1	0.584	0.000
FGF-2	0.683	0.159
NGF-beta	0.336	-0.000
EFNA1	-0.000	0.000
VEGF165	0.465	-0.000
