RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.684	0.648
Akt	0.662	0.751
EGFR	0.551	0.774
ErbB2	0.912	0.855
ErbB3	0.803	0.662
ErbB4	0.000	0.699
InsR	0.445	0.853
IGF1R	0.568	0.583
IGF2R	0.558	0.000
VEGFR1	0.358	0.000
VEGFR2	0.000	0.518
VEGFR3	0.000	0.617
PDGFRa	0.000	0.000
PDGFRb	0.000	0.616
Met	0.459	0.000
cKit	0.000	0.000
EphA2	0.641	0.000
TrkA	0.000	0.000
FGFR1	0.639	0.000
FGFR2	0.597	0.000
FGFR3	0.305	0.000
FGFR4	0.200	0.000

Response (arrows)	Erk	Akt
EGF	0.201	0.220
EPR	0.193	0.194
BTC	0.206	0.412
HRG	0.191	0.465
INS	0.000	0.000
IGF-1	0.000	0.000
IGF-2	0.000	0.017
PDGF-BB	0.000	0.000
HGF	0.097	0.011
SCF	0.000	0.000
FGF-1	0.081	0.000
FGF-2	0.109	0.000
NGF-beta	0.016	0.000
EFNA1	0.007	0.015
VEGF165	0.012	0.000
