RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.736	0.331
Akt	0.522	0.499
EGFR	0.455	0.433
ErbB2	0.590	0.162
ErbB3	0.841	0.000
ErbB4	0.228	0.425
InsR	0.478	0.766
IGF1R	0.720	0.582
IGF2R	0.486	0.000
VEGFR1	0.428	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.468
PDGFRa	0.000	0.000
PDGFRb	0.243	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.453	0.000
TrkA	0.000	0.000
FGFR1	0.659	0.000
FGFR2	0.247	0.000
FGFR3	0.066	0.000
FGFR4	0.439	0.000

Response (arrows)	Erk	Akt
EGF	0.348	0.025
EPR	0.286	0.000
BTC	0.475	0.156
HRG	0.528	0.461
INS	0.000	0.136
IGF-1	0.127	0.157
IGF-2	0.067	0.105
PDGF-BB	0.000	0.000
HGF	0.078	0.011
SCF	0.000	0.009
FGF-1	0.461	0.018
FGF-2	0.463	0.061
NGF-beta	0.099	0.032
EFNA1	0.045	0.043
VEGF165	0.202	0.090
