RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.769	0.268
Akt	1.000	0.427
EGFR	0.530	0.000
ErbB2	0.529	0.000
ErbB3	0.883	0.000
ErbB4	0.000	0.000
InsR	0.860	0.917
IGF1R	0.954	0.443
IGF2R	0.582	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.000	0.000
Met	0.000	0.000
cKit	0.588	0.000
EphA2	0.674	0.000
TrkA	0.000	0.000
FGFR1	0.839	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.544	0.000
EPR	0.396	-0.000
BTC	0.646	0.367
HRG	0.688	1.000
INS	0.000	0.352
IGF-1	0.515	0.715
IGF-2	0.415	0.675
PDGF-BB	0.000	0.000
HGF	0.336	0.000
SCF	0.000	0.000
FGF-1	0.569	0.000
FGF-2	0.557	0.000
NGF-beta	0.086	0.240
EFNA1	0.167	0.000
VEGF165	0.318	0.000
