RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.730	1.000
Akt	0.589	0.734
EGFR	0.489	0.332
ErbB2	0.639	0.281
ErbB3	0.681	0.644
ErbB4	0.000	0.618
InsR	0.000	0.701
IGF1R	0.579	0.752
IGF2R	0.402	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.000	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.678	0.000
TrkA	0.000	0.000
FGFR1	0.784	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.057	0.051
EPR	0.000	-0.000
BTC	0.060	0.000
HRG	0.000	0.229
INS	-0.000	0.215
IGF-1	0.000	0.104
IGF-2	0.000	0.068
PDGF-BB	0.000	0.051
HGF	0.000	0.067
SCF	0.000	0.055
FGF-1	0.000	0.000
FGF-2	0.000	0.034
NGF-beta	0.000	0.074
EFNA1	0.000	0.074
VEGF165	0.000	0.057
