RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.701	0.503
Akt	0.455	0.716
EGFR	0.686	0.931
ErbB2	0.918	0.898
ErbB3	0.789	0.699
ErbB4	0.000	0.818
InsR	0.870	0.872
IGF1R	0.356	0.574
IGF2R	0.593	0.000
VEGFR1	0.704	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.710
PDGFRa	0.000	0.000
PDGFRb	0.318	0.860
Met	0.560	0.000
cKit	0.000	0.000
EphA2	0.613	0.000
TrkA	0.000	0.000
FGFR1	0.741	0.000
FGFR2	0.855	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.342	0.418
EPR	0.342	0.382
BTC	0.336	0.450
HRG	0.335	0.511
INS	-0.000	-0.000
IGF-1	-0.000	-0.000
IGF-2	-0.000	-0.000
PDGF-BB	0.000	-0.000
HGF	0.270	0.000
SCF	-0.000	-0.000
FGF-1	0.214	0.000
FGF-2	0.239	0.000
NGF-beta	0.115	0.000
EFNA1	-0.000	0.000
VEGF165	-0.000	-0.000
