RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.272	0.401
Akt	0.421	0.667
EGFR	0.513	0.508
ErbB2	0.570	0.230
ErbB3	0.832	0.000
ErbB4	0.665	0.554
InsR	0.693	0.667
IGF1R	0.767	0.772
IGF2R	0.518	0.000
VEGFR1	0.601	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.665
PDGFRa	0.000	0.000
PDGFRb	0.377	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.457	0.000
TrkA	0.000	0.000
FGFR1	0.628	0.000
FGFR2	0.828	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.442	0.478
EPR	0.433	0.309
BTC	0.441	0.505
HRG	0.457	0.643
INS	0.000	0.069
IGF-1	0.261	0.361
IGF-2	0.152	0.279
PDGF-BB	0.114	0.000
HGF	0.124	0.000
SCF	0.000	0.000
FGF-1	0.416	0.107
FGF-2	0.402	0.103
NGF-beta	0.122	0.000
EFNA1	0.101	0.064
VEGF165	0.175	0.072
