RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.428	0.405
Akt	0.360	0.636
EGFR	0.759	0.626
ErbB2	0.487	0.091
ErbB3	0.480	0.000
ErbB4	0.000	0.480
InsR	0.354	0.733
IGF1R	0.543	0.397
IGF2R	0.461	0.000
VEGFR1	0.304	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.276
PDGFRa	0.039	0.000
PDGFRb	0.167	0.077
Met	0.836	0.000
cKit	0.178	0.000
EphA2	0.749	0.000
TrkA	0.000	0.000
FGFR1	0.474	0.000
FGFR2	0.117	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.378	0.398
EPR	0.350	0.286
BTC	0.372	0.360
HRG	0.223	0.340
INS	0.043	0.115
IGF-1	0.111	0.328
IGF-2	0.058	0.267
PDGF-BB	0.011	0.004
HGF	0.312	0.384
SCF	0.025	0.005
FGF-1	0.266	0.078
FGF-2	0.234	0.071
NGF-beta	0.065	0.014
EFNA1	0.014	0.006
VEGF165	0.062	0.058
