RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.646	0.788
Akt	0.756	1.000
EGFR	0.699	0.872
ErbB2	1.000	0.981
ErbB3	0.796	0.829
ErbB4	0.000	0.796
InsR	0.793	0.930
IGF1R	0.000	0.821
IGF2R	0.929	0.000
VEGFR1	1.000	0.000
VEGFR2	0.000	0.722
VEGFR3	0.000	0.911
PDGFRa	0.000	0.000
PDGFRb	0.000	0.915
Met	0.629	0.000
cKit	0.000	0.000
EphA2	0.648	0.795
TrkA	1.000	0.000
FGFR1	0.000	0.000
FGFR2	1.000	0.000
FGFR3	1.000	0.000
FGFR4	0.703	0.000

Response (arrows)	Erk	Akt
EGF	0.148	0.000
EPR	0.144	0.000
BTC	0.167	0.118
HRG	0.076	0.000
INS	0.000	-0.000
IGF-1	0.000	-0.000
IGF-2	0.000	-0.000
PDGF-BB	0.000	-0.000
HGF	0.050	-0.000
SCF	0.000	-0.000
FGF-1	0.000	0.000
FGF-2	0.000	-0.000
NGF-beta	0.000	-0.000
EFNA1	0.000	-0.000
VEGF165	0.000	0.000
