RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.545	0.843
Akt	0.801	0.757
EGFR	0.000	0.458
ErbB2	0.951	0.872
ErbB3	0.911	0.749
ErbB4	0.000	0.649
InsR	0.000	0.841
IGF1R	0.581	0.588
IGF2R	0.513	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.765
VEGFR3	0.000	0.649
PDGFRa	0.234	0.000
PDGFRb	0.000	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.515	0.000
TrkA	0.000	0.000
FGFR1	0.620	0.000
FGFR2	0.000	0.000
FGFR3	0.762	0.000
FGFR4	0.476	0.000

Response (arrows)	Erk	Akt
EGF	0.000	0.312
EPR	0.000	0.278
BTC	0.075	0.713
HRG	0.070	0.729
INS	0.000	0.000
IGF-1	0.000	0.000
IGF-2	0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.000	0.000
SCF	0.000	0.000
FGF-1	0.000	0.000
FGF-2	0.000	0.093
NGF-beta	0.031	0.000
EFNA1	0.000	0.000
VEGF165	0.000	0.000
