RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.193	0.483
Akt	0.091	0.519
EGFR	0.838	0.783
ErbB2	0.503	0.098
ErbB3	0.475	-1.000
ErbB4	-1.000	0.465
InsR	0.587	0.980
IGF1R	0.774	0.777
IGF2R	0.624	-1.000
VEGFR1	0.475	-1.000
VEGFR2	0.929	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	0.124	0.674
PDGFRb	-1.000	-1.000
Met	0.955	0.623
cKit	-1.000	-1.000
EphA2	0.726	-1.000
TrkA	-1.000	0.334
FGFR1	0.335	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.192	0.494
EPR	0.188	0.419
BTC	0.187	0.508
HRG	0.064	0.350
INS	-0.000	0.000
IGF-1	0.123	0.489
IGF-2	0.069	0.358
PDGF-BB	0.000	0.000
HGF	0.219	0.536
SCF	0.041	0.000
FGF-1	0.162	0.159
FGF-2	0.051	0.000
NGF-beta	0.000	0.000
EFNA1	0.039	0.000
VEGF165	0.041	0.000
