RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.409	0.633
Akt	0.420	0.723
EGFR	0.705	1.000
ErbB2	0.900	0.884
ErbB3	0.839	0.909
ErbB4	-1.000	0.710
InsR	0.840	0.945
IGF1R	0.422	0.716
IGF2R	0.588	-1.000
VEGFR1	0.508	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	0.733
PDGFRa	-1.000	0.719
PDGFRb	-1.000	-1.000
Met	0.764	0.820
cKit	-1.000	-1.000
EphA2	0.595	0.498
TrkA	-1.000	-1.000
FGFR1	0.536	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.186	0.316
EPR	0.190	0.346
BTC	0.178	0.413
HRG	0.176	0.513
INS	0.000	-0.000
IGF-1	-0.000	0.000
IGF-2	-0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.169	0.145
SCF	-0.000	0.000
FGF-1	0.072	0.000
FGF-2	0.081	0.000
NGF-beta	0.000	0.000
EFNA1	0.000	0.078
VEGF165	0.058	0.000
