RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.821	0.658
Akt	0.372	0.737
EGFR	0.799	0.645
ErbB2	0.460	0.243
ErbB3	-1.000	-1.000
ErbB4	-1.000	0.682
InsR	-1.000	0.712
IGF1R	0.541	0.633
IGF2R	1.000	-1.000
VEGFR1	0.746	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	0.197	0.851
PDGFRb	0.319	-1.000
Met	0.918	-1.000
cKit	-1.000	-1.000
EphA2	1.000	-1.000
TrkA	-1.000	-1.000
FGFR1	0.924	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.258	0.181
EPR	0.226	0.153
BTC	0.245	0.143
HRG	-0.000	0.000
INS	0.000	0.149
IGF-1	0.000	0.231
IGF-2	0.000	0.189
PDGF-BB	0.000	0.000
HGF	0.273	0.348
SCF	0.000	0.000
FGF-1	0.178	0.000
FGF-2	0.201	0.000
NGF-beta	0.000	0.000
EFNA1	0.000	0.000
VEGF165	0.000	0.000
