RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.953	0.977
Akt	0.823	0.789
EGFR	0.720	0.724
ErbB2	0.877	0.638
ErbB3	0.793	-1.000
ErbB4	-1.000	0.641
InsR	0.884	0.826
IGF1R	0.437	-1.000
IGF2R	0.412	-1.000
VEGFR1	0.737	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	0.412
PDGFRb	0.403	-1.000
Met	-1.000	-1.000
cKit	-1.000	-1.000
EphA2	0.782	-1.000
TrkA	-1.000	-1.000
FGFR1	0.844	-1.000
FGFR2	0.993	-1.000
FGFR3	0.486	-1.000
FGFR4	0.523	-1.000

Response (arrows)	Erk	Akt
EGF	0.318	0.000
EPR	0.280	0.000
BTC	0.311	0.077
HRG	0.220	0.097
INS	0.000	-0.000
IGF-1	0.000	0.000
IGF-2	0.000	-0.000
PDGF-BB	0.050	0.000
HGF	0.285	0.000
SCF	0.000	0.000
FGF-1	0.098	0.075
FGF-2	0.112	0.000
NGF-beta	0.070	0.000
EFNA1	0.000	0.073
VEGF165	0.068	0.000
