RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.174	0.090
Akt	0.443	0.529
EGFR	0.630	0.630
ErbB2	0.558	0.106
ErbB3	0.640	-1.000
ErbB4	-1.000	0.540
InsR	0.571	0.937
IGF1R	0.595	0.761
IGF2R	0.308	-1.000
VEGFR1	-1.000	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	-1.000
PDGFRb	0.358	-1.000
Met	0.949	0.306
cKit	-1.000	-1.000
EphA2	0.687	-1.000
TrkA	-1.000	-1.000
FGFR1	0.266	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.511	0.404
EPR	0.457	0.108
BTC	0.502	0.353
HRG	0.455	0.887
INS	0.000	0.000
IGF-1	0.276	0.487
IGF-2	0.158	0.349
PDGF-BB	0.000	0.074
HGF	0.496	0.543
SCF	0.000	0.000
FGF-1	0.300	0.097
FGF-2	0.269	0.108
NGF-beta	0.065	0.206
EFNA1	0.000	0.055
VEGF165	0.256	0.195
