RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.000	0.000
Akt	0.146	0.331
EGFR	0.832	0.873
ErbB2	0.438	0.023
ErbB3	0.447	-1.000
ErbB4	-1.000	0.358
InsR	-1.000	0.796
IGF1R	0.678	0.712
IGF2R	0.297	-1.000
VEGFR1	-1.000	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	-1.000
PDGFRb	-1.000	-1.000
Met	0.976	0.991
cKit	-1.000	-1.000
EphA2	0.698	0.414
TrkA	-1.000	-1.000
FGFR1	0.143	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.136	0.228
EPR	0.084	0.000
BTC	0.146	0.146
HRG	0.000	0.075
INS	0.062	0.173
IGF-1	0.069	0.272
IGF-2	0.062	0.178
PDGF-BB	0.052	0.000
HGF	0.154	0.238
SCF	0.000	-0.000
FGF-1	0.128	0.000
FGF-2	0.118	0.130
NGF-beta	0.053	0.000
EFNA1	0.043	0.134
VEGF165	0.000	0.159
