RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.983	0.450
Akt	0.440	0.913
EGFR	-1.000	0.503
ErbB2	0.607	0.220
ErbB3	0.850	-1.000
ErbB4	-1.000	0.514
InsR	0.691	0.903
IGF1R	0.517	-1.000
IGF2R	0.480	-1.000
VEGFR1	0.792	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	0.765
PDGFRb	0.399	-1.000
Met	0.522	-1.000
cKit	0.868	-1.000
EphA2	0.621	-1.000
TrkA	-1.000	-1.000
FGFR1	0.748	-1.000
FGFR2	0.886	-1.000
FGFR3	0.478	-1.000
FGFR4	0.750	-1.000

Response (arrows)	Erk	Akt
EGF	0.000	0.000
EPR	-0.000	0.000
BTC	0.600	0.174
HRG	0.633	0.273
INS	0.000	0.000
IGF-1	-0.000	0.000
IGF-2	-0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.439	0.000
SCF	0.307	0.000
FGF-1	0.600	0.150
FGF-2	0.588	0.143
NGF-beta	0.284	0.000
EFNA1	0.209	0.152
VEGF165	0.297	0.141
