RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.272	0.401
Akt	0.421	0.667
EGFR	0.513	0.508
ErbB2	0.570	0.230
ErbB3	0.832	-1.000
ErbB4	0.665	0.554
InsR	0.693	0.667
IGF1R	0.767	0.638
IGF2R	0.518	-1.000
VEGFR1	0.601	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	0.665
PDGFRb	0.377	-1.000
Met	-1.000	-1.000
cKit	-1.000	-1.000
EphA2	0.457	-1.000
TrkA	-1.000	-1.000
FGFR1	0.628	-1.000
FGFR2	0.828	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.436	0.478
EPR	0.428	0.309
BTC	0.436	0.505
HRG	0.452	0.643
INS	0.000	0.069
IGF-1	0.258	0.361
IGF-2	0.150	0.279
PDGF-BB	0.113	0.000
HGF	0.123	0.000
SCF	0.000	0.000
FGF-1	0.410	0.107
FGF-2	0.396	0.103
NGF-beta	0.120	0.000
EFNA1	0.100	0.064
VEGF165	0.173	0.072
