1205LU	1205Lu	50062	
1321N1	1321N1	50063	
143B	143B	50064	
143BPMLBKTK	143B PML BK TK	50065	
184B5	184B5	50576	
1A6	1A6	50066	
22RV1	22RV1	50067	
2313287	23132/87	50068	
42MGBA	42-MG-BA	50069	
5637	5637	50001	
621101	621-101	50070	
639V	639-V	50071	
647V	647-V	50002	
769P	769-P	50072	
786O	786-O	50073	
8305C	8305C	50074	
8505C	8505C	50075	
A172	A172	50076	
A204	A-204	50077	
A2058	A2058	50078	
A2780	A2780	50079	
A2780ADR	A2780ADR	50080	
A373C6	A373-C6	50081	
A375	A-375	50060	
A375S2	A375.S2	50003	
A427	A-427	50082	
A431	A431	50083	
A549	A549	50084	
A673	A673	50085	
ABC1	ABC-1	50086	
ACHN	ACHN	50087	
AGS	AGS	50004	
AN3CA	AN3CA	50088	
ASH3	ASH-3	50089	
ASPC1	AsPC-1	50090	
AU565	AU565	50091	
AZ521	AZ-521	50092	
BCPAP	B-CPAP	50093	
BE2C	BE(2)-C	50094	
BEN	BEN	50095	
BEWO	BeWo	50096	
BFTC905	BFTC-905	50097	
BFTC909	BFTC-909	50098	
BHT101	BHT-101	50099	
BHY	BHY	50100	
BICR10	BICR 10	50101	
BICR22	BICR 22	50102	
BICR31	BICR 31	50103	
BICR78	BICR 78	50104	
BPH1	BPH-1	50005	
BT20	BT-20	50105	
BT474	BT-474	50106	
BT483	BT-483	50107	
BT549	BT-549	50108	
BXPC3	BxPC-3	50109	
C170	C170	50110	
C2BBE1	C2BBe1	50111	
C32	C32	50112	
C33A	C-33 A	50113	
C3A	C3A	50114	
C4I	C-4 I	50115	
C4II	C-4 II	50116	
CA922	Ca9-22	50007	
CACO2	Caco-2	50117	
CAKI1	Caki-1	50118	
CAL120	CAL-120	50120	
CAL12T	CAL-12T	50121	
CAL148	CAL-148	50122	
CAL27	CAL 27	50119	
CAL29	CAL-29	50123	
CAL33	CAL-33	50124	
CAL39	CAL-39	50125	
CAL51	CAL-51	50008	
CAL54	CAL-54	50126	
CAL62	CAL-62	50127	
CAL72	CAL-72	50128	
CAL78	CAL-78	50129	
CAL851	CAL-85-1	50130	
CALU1	Calu-1	50009	
CALU3	Calu-3	50010	
CAMA1	CAMA-1	50131	
CAOV3	Caov-3	50132	
CAOV4	Caov-4	50133	
CAPAN1	Capan-1	50134	
CAPAN2	Capan-2	50135	
CAR1	CaR-1	50136	
CASKI	Ca Ski	50006	
CCFSTTG1	CCF-STTG1	50137	
CCK81	CCK-81	50138	
CHP212	CHP-212	50139	
CL40	CL-40	50140	
COCM1	CoCM-1	50141	
COLO201	COLO 201	50142	
COLO205	COLO 205	50143	
COLO206F	COLO-206F	50150	
COLO320	COLO-320	50151	
COLO320DM	COLO 320DM	50144	
COLO678	COLO-678	50152	
COLO679	COLO-679	50011	
COLO680N	COLO-680N	50153	
COLO741	COLO 741	50145	
COLO783	COLO-783	50154	
COLO792	COLO 792	50146	
COLO800	COLO-800	50012	
COLO818	COLO-818	50155	
COLO824	COLO-824	50156	
COLO849	COLO-849	50157	
COLO853	COLO 853	50147	
COLO857	COLO 857	50148	
COLO858	COLO 858	50149	
CORL105	COR-L 105	50158	
CORL23	COR-L23	50160	
CORL23CPR	COR-L 23/CPR	50159	
DANG	DAN-G	50161	
DAOY	Daoy	50162	
DBTRG05MG	DBTRG-05MG	50163	
DETROIT562	Detroit 562	50164	
DKMG	DK-MG	50165	
DLD1	DLD-1	50166	
DMS273	DMS 273	50167	
DMS53	DMS 53	50168	
DOK	DOK	50169	
DOTC24510	DoTc2 4510	50170	
DU145	DU 145	50171	
DU4475	DU4475	50577	
DV90	DV-90	50172	
EBC1	EBC-1	50173	
EFE184	EFE-184	50174	
EFM19	EFM-19	50175	
EFM192A	EFM-192A	50176	
EFM192B	EFM-192B	50177	
EFM192C	EFM-192C	50178	
EFO21	EFO-21	50179	
EFO27	EFO-27	50180	
EGI1	EGI-1	50181	
EJ138	EJ138	50182	
EN	EN	50183	
EPLC272H	EPLC-272H	50184	
ES2	ES-2	50185	
ESS1	ESS-1	50186	
EVSAT	EVSA-T	50187	
FADU	FaDu	50188	
FLYA13	FLYA13	50189	
FOCUS	FOCUS	50050	
FTC133	FTC-133	50190	
FTC238	FTC-238	50191	
FU97	FU97	50013	
FUOV1	FU-OV-1	50192	
G292CLONEA141B1	G-292 Clone A141B1	50193	
G361	G-361	50194	
G401	G-401	50195	
G402	G-402	50196	
GAMG	GAMG	50197	
GCT	GCT	50198	
GMS10	GMS-10	50199	
GOS3	GOS-3	50200	
GP5D	GP5d	50201	
H4	H4	50202	
H69V	H69V	50203	
HARA	HARA	50204	
HCC1143	HCC1143	50205	
HCC1187	HCC1187	50578	
HCC1395	HCC1395	50206	
HCC1419	HCC1419	50207	
HCC1428	HCC1428	50208	
HCC15	HCC-15	50209	
HCC1500	HCC1500	50579	
HCC1569	HCC1569	50210	
HCC1599	HCC1599	50580	
HCC1806	HCC1806	50211	
HCC1937	HCC1937	50212	
HCC1954	HCC1954	50213	
HCC202	HCC202	50214	
HCC2157	HCC2157	50581	
HCC2218	HCC2218	50582	
HCC366	HCC-366	50215	
HCC38	HCC38	50216	
HCC44	HCC-44	50217	
HCC56	HCC-56	50218	
HCC70	HCC70	50219	
HCC78	HCC-78	50220	
HCC827	HCC-827	50221	
HCT116	HCT 116	50222	
HCT15	HCT-15	50223	
HCT8	HCT-8	50224	
HDQP1	HDQ-P1	50225	
HEC1	HEC-1	50014	
