	erk	akt	egfr	erbb2	erbb3	erbb4	perk	perk'	pakt	pegfr	perbb2	perbb3	perbb4
184B5	-3.34316621394	-1.83910908383	-0.699942858676	-1.75422381917	-2.67552196368	-4.83055302842	-3.91785364064	-3.00462113005	-1.18962851282	-1.13256607671	-2.35451561902	-4.28401036494	-2.71077765323
AU565	-3.14263514602	-1.4967195654	-1.23634304779	0.0745129839175	-1.53688218762	-4.83055302842	-3.38552051764	-2.73450100117	-0.56313988467	-0.105966557636	0.0346176316262	-1.12008796272	-1.72724550716
BT20	-3.34870894018	-1.71123414592	-0.371094170689	-1.48425692487	-2.129752056	-4.83055302842	-3.9517503488	-3.36835754611	-0.689053273586	-0.710596040316	-1.93837301028	-4.28401036494	-2.48539111552
BT474	-2.97643761207	-1.22664915788	-2.16746237413	0.0241480455072	-1.57934114701	-4.83055302842	-3.77082540798	-3.17199361856	-0.645694543139	-0.905770422924	-0.00323475262687	-1.18923876192	-1.59616966032
BT483	-2.77396751932	-1.40568298934	-2.71020459343	-0.696476946026	-1.03443739455	-4.83055302842	-4.57666142903	-3.20284202879	-0.916449818682	-2.49804451952	-1.68037181077	-4.28401036494	-2.36288597261
BT549	-2.76106635197	-1.54630825656	-0.85612658955	-1.95150516027	-4.15766386541	-4.83055302842	-3.32217598389	-2.68960482274	-0.518468724338	-1.78672776325	-1.91284708162	-4.28401036494	-1.83775079109
CAMA1	-2.98458815171	-1.79583816951	-1.62552768645	-1.19936792751	-1.41456200518	-2.61023877437	-4.57666142903	-3.32071848286	-0.567908539682	-3.29491075416	-2.12951776736	-4.28401036494	-2.84920020674
HCC1187	-2.90967113735	-1.16988964947	-1.10386783844	-1.38108177256	-2.45853683917	-4.83055302842	-3.8073841289	-3.19484198268	-0.603610342432	-1.98670986082	-1.81002846678	-4.28401036494	-2.82313814274
HCC1395	-3.17154458792	-1.39768892938	-1.40500447663	-2.51464102981	-4.15766386541	-4.83055302842	-4.57666142903	-2.84599372539	-0.451642382412	-2.55917460331	-2.65198715023	-4.28401036494	-3.1653002929
HCC1419	-2.59566388722	-1.16604422924	-4.0735910771	0.481864480265	-1.37074185413	-4.83055302842	-3.20294477238	-2.31507018429	-0.247076641122	-1.06111396222	0.385908314265	-0.803188031851	-0.563136160631
HCC1428	-2.97572683324	-1.12046184057	-1.40307579521	-1.41213746547	-1.47329401247	-2.91966686399	-3.96331757609	-3.68062524865	-2.43875338435	-1.82465581879	-2.65198715023	-4.28401036494	-2.36439387817
HCC1500	-2.78873202853	-1.52178624773	-2.06903581751	-1.54482263872	-1.6697274021	-3.27290377416	-3.61606239331	-3.63047872644	-2.39290444073	-2.14595983225	-1.99620156377	-4.28401036494	-2.56183304325
HCC1569	-2.90704128367	-1.58881704714	-2.09134116052	0.082625207987	-1.62089012507	-4.83055302842	-3.24242646622	-3.41609054916	-0.424099313702	-1.84686035513	-0.329188414661	-3.18905230888	-2.47115252764
HCC1806	-3.4976645614	-1.9334700553	-0.886414309181	-1.85585088527	-2.25906455838	-4.83055302842	-4.57666142903	-3.37270796789	-2.21800519915	-1.98342690356	-2.33975383124	-4.28401036494	-2.90576291611
HCC1937	-2.76098464027	-1.63627555056	-0.898541794979	-1.62094880176	-2.63751665731	-4.83055302842	-4.57666142903	-2.67144179375	-0.528525329038	-2.28192401209	-2.65198715023	-4.28401036494	-2.29826856578
