	perk,egf,1,t10	perk,egf,1,t30	perk,egf,1,t90	perk,egf,100,t10	perk,egf,100,t30	perk,egf,100,t90	perk,epr,1,t10	perk,epr,1,t30	perk,epr,1,t90	perk,epr,100,t10	perk,epr,100,t30	perk,epr,100,t90	perk,btc,1,t10	perk,btc,1,t30	perk,btc,1,t90	perk,btc,100,t10	perk,btc,100,t30	perk,btc,100,t90	perk,hrg,1,t10	perk,hrg,1,t30	perk,hrg,1,t90	perk,hrg,100,t10	perk,hrg,100,t30	perk,hrg,100,t90	perk,ins,1,t10	perk,ins,1,t30	perk,ins,1,t90	perk,ins,100,t10	perk,ins,100,t30	perk,ins,100,t90	perk,igf-1,1,t10	perk,igf-1,1,t30	perk,igf-1,1,t90	perk,igf-1,100,t10	perk,igf-1,100,t30	perk,igf-1,100,t90	perk,igf-2,1,t10	perk,igf-2,1,t30	perk,igf-2,1,t90	perk,igf-2,100,t10	perk,igf-2,100,t30	perk,igf-2,100,t90	perk,pdgf-bb,1,t10	perk,pdgf-bb,1,t30	perk,pdgf-bb,1,t90	perk,pdgf-bb,100,t10	perk,pdgf-bb,100,t30	perk,pdgf-bb,100,t90	perk,hgf,1,t10	perk,hgf,1,t30	perk,hgf,1,t90	perk,hgf,100,t10	perk,hgf,100,t30	perk,hgf,100,t90	perk,scf,1,t10	perk,scf,1,t30	perk,scf,1,t90	perk,scf,100,t10	perk,scf,100,t30	perk,scf,100,t90	perk,fgf-1,1,t10	perk,fgf-1,1,t30	perk,fgf-1,1,t90	perk,fgf-1,100,t10	perk,fgf-1,100,t30	perk,fgf-1,100,t90	perk,fgf-2,1,t10	perk,fgf-2,1,t30	perk,fgf-2,1,t90	perk,fgf-2,100,t10	perk,fgf-2,100,t30	perk,fgf-2,100,t90	perk,ngf-beta,1,t10	perk,ngf-beta,1,t30	perk,ngf-beta,1,t90	perk,ngf-beta,100,t10	perk,ngf-beta,100,t30	perk,ngf-beta,100,t90	perk,efna1,1,t10	perk,efna1,1,t30	perk,efna1,1,t90	perk,efna1,100,t10	perk,efna1,100,t30	perk,efna1,100,t90	perk,vegf165,1,t10	perk,vegf165,1,t30	perk,vegf165,1,t90	perk,vegf165,100,t10	perk,vegf165,100,t30	perk,vegf165,100,t90	pakt,egf,1,t10	pakt,egf,1,t30	pakt,egf,1,t90	pakt,egf,100,t10	pakt,egf,100,t30	pakt,egf,100,t90	pakt,epr,1,t10	pakt,epr,1,t30	pakt,epr,1,t90	pakt,epr,100,t10	pakt,epr,100,t30	pakt,epr,100,t90	pakt,btc,1,t10	pakt,btc,1,t30	pakt,btc,1,t90	pakt,btc,100,t10	pakt,btc,100,t30	pakt,btc,100,t90	pakt,hrg,1,t10	pakt,hrg,1,t30	pakt,hrg,1,t90	pakt,hrg,100,t10	pakt,hrg,100,t30	pakt,hrg,100,t90	pakt,ins,1,t10	pakt,ins,1,t30	pakt,ins,1,t90	pakt,ins,100,t10	pakt,ins,100,t30	pakt,ins,100,t90	pakt,igf-1,1,t10	pakt,igf-1,1,t30	pakt,igf-1,1,t90	pakt,igf-1,100,t10	pakt,igf-1,100,t30	pakt,igf-1,100,t90	pakt,igf-2,1,t10	pakt,igf-2,1,t30	pakt,igf-2,1,t90	pakt,igf-2,100,t10	pakt,igf-2,100,t30	pakt,igf-2,100,t90	pakt,pdgf-bb,1,t10	pakt,pdgf-bb,1,t30	pakt,pdgf-bb,1,t90	pakt,pdgf-bb,100,t10	pakt,pdgf-bb,100,t30	pakt,pdgf-bb,100,t90	pakt,hgf,1,t10	pakt,hgf,1,t30	pakt,hgf,1,t90	pakt,hgf,100,t10	pakt,hgf,100,t30	pakt,hgf,100,t90	pakt,scf,1,t10	pakt,scf,1,t30	pakt,scf,1,t90	pakt,scf,100,t10	pakt,scf,100,t30	pakt,scf,100,t90	pakt,fgf-1,1,t10	pakt,fgf-1,1,t30	pakt,fgf-1,1,t90	pakt,fgf-1,100,t10	pakt,fgf-1,100,t30	pakt,fgf-1,100,t90	pakt,fgf-2,1,t10	pakt,fgf-2,1,t30	pakt,fgf-2,1,t90	pakt,fgf-2,100,t10	pakt,fgf-2,100,t30	pakt,fgf-2,100,t90	pakt,ngf-beta,1,t10	pakt,ngf-beta,1,t30	pakt,ngf-beta,1,t90	pakt,ngf-beta,100,t10	pakt,ngf-beta,100,t30	pakt,ngf-beta,100,t90	pakt,efna1,1,t10	pakt,efna1,1,t30	pakt,efna1,1,t90	pakt,efna1,100,t10	pakt,efna1,100,t30	pakt,efna1,100,t90	pakt,vegf165,1,t10	pakt,vegf165,1,t30	pakt,vegf165,1,t90	pakt,vegf165,100,t10	pakt,vegf165,100,t30	pakt,vegf165,100,t90
184B5	0.622461159628944	0.594653187891302	0.453294246408332	0.716385504172537	0.63701311776189	0.441772934459531	0.122245309879712	0.121957320982339	0	0.701952087045947	0.588367540024855	0.637172246961457	0.670067606010338	0.655163560041151	0.529682254778299	0.698023401106773	0.627429817694066	0.48098928041708	0	0	0	0.24031005470478	0.215311941714413	0	0	0	0	0	0	0	0	0	0	0.458963894339754	0	0	0	0	0	0.255771441643448	0.152064914724833	0	0	0	0	0	0	0	0.18075081429735	0.224426258458254	0	0.769360914582597	0.815710566494458	0.616560807489438	0	0	0	0.151393591258154	0	0	0.464337903484352	0.38426016836243	0.306612471793688	0.604294619375806	0.217967884848242	0.226962300288397	0	0	0	0.177586544039936	0.190501418952539	0	0	0	0	0	0	0	0	0	0	0	0	0.146223459875986	0.251290899103378	0	0	0.152749204016957	0	0	0.388894127382722	0	0	0.77162618019291	0.593109132769929	0.344487100218673	0	0	0	0.653744668945378	0.187348192092795	0	0.530886491654432	0.196549998027813	0	0.793511584527535	0.541180338475869	0.337738199398014	0	0	0	0.546224273529503	0.3226935772334	0.19427813280132	0	0	0	0	0	0	0	0	0	0.763798760909442	0.697685675262955	0.64067133130294	0	0	0	0.535004956182644	0.289257281384609	0.559382678261994	0	0	0	0	0	0	0	0	0	0.836590544304249	0.710001314903496	0.655207080646538	0	0	0	0	0	0	0.227291025654868	0	0	0.247992843892157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21MT1	0.280183691150682	0	0	0.703239760955273	0	0	0	0	0	0.444775268862591	0.498073541355981	0	0.338254894981008	0.323629888693239	0	0.753287845157395	0.354414221910218	0	0.563294406166169	0.547469884037996	0.457258552478728	0.801852876210964	0.635135467522483	0.474767430281345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661229654432744	0.545607758782785	0.27044861998264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268663118216634	0	0	0.369098419161056	0	0.483223548535645	0.114684870169991	0	0	0.113712681224884	0	0	0	0	0	0	0	0	0.118346627722734	0.084958695443105	0	0.502660230236998	0.535916579075011	0.474059987175987	0.493713378360757	0.666284226587931	0.800385747054699	0.940493182264988	0.95364817032424	0.871894552708785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101646662997663	0	0	0	0	0	0.120434408762925	0	0	0	0	0	0.354171530771659	0.176482386564403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342122753197514	0	0	0	0	0	0	0	0	0	0	0.136735666048561	0	0	0.134935115013664	0
21PT	1.14794276938473	1.17025249041292	0	1.57180437106421	1.30192378275117	0.641849613908535	0.696577535865035	0	0	1.52617932914002	1.43428203907658	0.971027987067752	1.30985516435565	1.19113870650403	0	1.62585195028703	1.42739961149821	0.445022317155633	1.21073230793875	1.17834118630113	0.361979219615945	1.5085198320077	1.4029910602007	0.953686686358866	0	0	0	0	0	0	0	0	0	0.386455243374404	0	0	0	0	0	0	0	0.445653077774129	0	0	0	0.808854837420864	0	0	0	0	0	1.4324247099242	1.31942397759809	0.797894534641928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.660911565082986	0	0	0	0	0	0.663426660156684	0	0	0	0	0.429171442370135	0.396440948159858	0	0	0.340760407755555	0	0	1.07087033687279	1.07142698887808	0.485044654049432	1.11225550748303	1.19033598561944	0.59709049576165	1.37049610271097	1.38825938329208	1.33099933070888	0	0	0	0	0	0.416446621649151	0	0	0	0	0	0.446091935071927	0	0	0	0	0	0.314952827476156	0	0	0	0.359031118489375	0	0.340417668866777	0	0	0	0.752390599461997	0.501726580885251	0.491000129866734	0	0	0	0	0	0.363497428336747	0	0	0	0	0	0	0	0	0	0	0	0	0.249798698699021	0.409386163811489	0.550600239522506	0.440972230307153	0.335567590637986	0.373821206650758	0	0	0.20725641624487	0	0	0.397724927550388	0	0.447040726227077	0.435130296721325	0	0.308601901108004	0.410962944894059
AU565	0.603948561724956	0.584552115481617	0.429771191161435	0.694217856043972	0.641713376547024	0.504817801261349	0.55849042074955	0.605413173710437	0.476337361036076	0.671611438223616	0.708655156871253	0.574098267391836	0.593638285670552	0.59069139842403	0.435709880954705	0.65313186151406	0.662955565555806	0.561566864679462	0.454428170739735	0.50362285549216	0.46166821123171	0.657136464637122	0.656627226705454	0.438689517380772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629757672633034	0.368045067415223	0.351576324037812	0	0	0	0	0	0	0.211818419552041	0	0	0.267480223943428	0	0	0.195855945920403	0	0	0.303204164710199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216126836006087	0	0	0	0.143853085524591	0	0.429006774904718	0.494114420265966	0.360124378915095	0	0.17867259622464	0	0.382693096046108	0.540081201225332	0.318774319050744	0	0.165724678208402	0	0.523601282199615	0.645088319307824	0.558839960650059	0.354836394436847	0.555044582329164	0.581910511363311	0.657569173331912	0.801304658002752	0.654877251481977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226304008854718	0.209703409516318	0.218203425106252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122529302144346	0	0	0	0	0	0
BT20	1.81184772268779	1.77948571329968	1.70259499957824	1.8516481590789	1.82068309032303	1.73971087463214	1.83022727552669	1.81400850958252	1.71085019259669	1.8465845068347	1.83241041437898	1.75577931924055	1.81607414244595	1.73409735794751	1.68574007587961	1.83572034404154	1.80199024738502	1.72469870968525	1.324616794181	1.39470534027529	1.30524156534371	1.73065908990321	1.59339074366743	1.51531706379714	0.564978699542707	0	0	0	0	0.715243976294244	0	0	0	0.511487963520371	0.630342807369967	0.470654933351355	0	0	0	0	0	0	0	0	0	0	0	0.599528964485898	0	0.629908105332209	0.505050913029197	1.82049306284874	1.76114971634179	1.61767203167548	0	0	0	0	0	0	1.31456717425954	0.965821226431447	0.811663535332197	1.47007533426912	0.710105154086486	0.606775600252193	0.611859533450381	0	0	1.02691424010272	0	0	0.767050105022671	0	0.493275555172099	0.713161164385085	0.603766572862982	0.880321529434116	0	0	0.559434624828292	0	0	0.582188492755332	0.513903771689487	0.61932604422802	0	0.713613067326308	0.635851424463007	0.740919112193684	0.221196276909268	0.236624310433963	0.263560849401687	0.247907673346337	0.282813282282147	0.271020442014555	0.316877634489097	0.314879317641495	0.247184508343233	0.321567399819485	0.356431636583209	0.298217116930579	0.307871770240246	0.279679610367741	0.247315119894919	0.31606193700657	0.343287645341479	0.311939019177264	0.284682689189571	0.348717727978414	0.343024402482623	0.388461643283284	0.41765222186535	0.400103800361844	0	0	0	0	0	0.078404325365182	0	0	0	0.124894595473494	0.207581181882021	0.249912118856916	0	0	0	0	0	0.156530965212716	0	0	0	0	0	0.064461240668061	0	0	0.065454913091683	0.367798333113563	0.352548875814472	0.342871478535972	0	0	0	0	0	0	0.113349600164651	0.077888481290401	0	0.109032677458905	0	0.06842769002714	0	0	0	0.058500050939134	0	0	0	0	0.085352471354257	0.131930365768012	0	0.08606935183481	0	0	0.060436522094475	0	0	0.114371829803477	0	0.096168368764448	0	0	0	0
BT474	0.395667249271464	0.29422009510146	0.308383965257778	0.716479622118098	0.482619779857971	0.289244777646716	0.323460736750266	0.223454530381303	0.291771725154824	0.699687011335123	0.572814865899487	0.411288037386275	0.530251716729139	0.409583207445554	0.296166095137324	0.746313931086459	0.618235778616738	0.456966016167184	0.53726500700497	0.53405719744429	0.617101164627036	0.806639269185756	0.776888918486943	0.638994363948113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09951682162028	0	0.096289957149376	0.422107084635157	0.22473502060772	0.175980441758973	0	0	0	0	0	0	0.241985505477863	0.10942117065342	0.222502868606614	0.403366195898246	0.162037495515469	0.178407647772535	0.26516073978306	0.175007174881651	0.300608330386448	0.511804557896929	0.37366972204785	0.290235001960308	0	0	0	0	0	0	0	0	0	0.120412107242827	0	0	0	0.089247508176125	0	0	0	0	0	0	0	0.268650069361913	0.182045520122866	0.267900854004781	0	0	0	0.223907194819555	0.157091214541691	0.167179988011394	0.063909215387889	0.06715030258942	0	0.541339543808666	0.585055282211472	0.640799567136044	0.2345628370253	0.383086945047223	0.549550311269581	0.617890985785308	0.705039945055552	0.687650615926605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089746440492982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06648290864173	0	0	0	0	0	0	0	0	0
BT483	1.24348771161656	0.893900436620128	0.921246839320507	1.96592631684796	1.2749269827599	0.45574690483847	0.645444107336095	0	0	1.72145038573805	1.15915727683852	1.0325050316268	1.7821720745639	1.40213951234906	0.858243308479403	1.95943115697082	1.22962415412427	0.714465583519931	1.81627006080578	1.82763856738692	1.90839700051344	2.16300812180401	2.117657578263	2.02376060899572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706854709536238	0	0	0	0	0	0	0	0	0	0	0	1.23026866118272	0.884695335916224	1.0765371889835	1.77449502868983	1.32934925548163	1.29987082153387	1.62847931507983	1.16516663999751	1.31070268365277	1.8165088926853	1.51542172607933	1.4359165731309	0.645177926267295	0	0	0	0	0	0	0	0	0	0	0	0.657953980924857	1.05694441698166	0	0.924191852295106	0.801828824792843	0	0	0	0	0.151079430949287	0	0	0	0	0	0	0	0	0	0	0	0.189966271086119	0.240869924686469	0.254663533083468	0.229005312309555	0.254390626290148	0.484699711218303	0.623085169118398	0.775307409763437	0.721659236473169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131111912326018	0	0.140918569588147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134098414375303	0
BT549	0.494776559993495	0.268537133186111	0.364495288979752	0.963068935949269	0.810933541672352	0.428555185936623	0	0	0	0.840624649691561	0.551444534789883	0.552641972331428	0.585002991565898	0.312080687690173	0.42564787841429	0.914088211513016	0.585551981850621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01897727909119	1.00191946526436	0.791730877340584	0	0	0	0	0	0	0.496244145544075	0.417389640336938	0.4619074424938	0.663682554376591	0	0	0.432096848475196	0.39859322382108	0.48071613568235	0.750018991657572	0.490863418621925	0.321062243793264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281988000276254	0.205427291628686	0	0	0	0	0.239499102724498	0	0	0	0	0	0.222552121908373	0.163437075335364	0	0	0	0	0	0	0	0	0	0	0	0	0.232495346412866	0	0	0	0.337164092361137	0.311112074189452	0.361023339821522	0	0	0	0.150911514168692	0.168789174257937	0.294957487294554	0	0	0	0	0	0	0	0	0	0.542866118724085	0.508362123075989	0.47774446619696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMA1	0	0	0	2.06860712530977	1.84439404373051	1.82235818013404	0	0	0.889447195534009	1.77243436721679	1.65034840503429	1.58924260575733	2.29254102800634	2.31658245228863	1.9501052529275	2.62601597474033	2.23499709008367	1.98617167717249	2.41222043457284	2.37615968358191	2.65504343615773	2.7989043336873	2.71160639233581	2.76675679137876	0	0	0	0	0	0	0	0	0	0	1.01606089158589	0	0	0	2.91667531342174	0	1.09332783769593	0	0	0	0	0	0	0.489613846663231	0	0	0	0	0	0	0	0	0	0.844049407230161	0	0	1.45539696297753	1.21607570825533	1.94517260837096	2.14705805086743	1.564961718965	1.63838490598922	1.58598339875361	1.51655778794645	2.30795557085866	2.51228884982528	2.46136915309999	2.3529985388226	0	1.84536784263566	0	0	0	1.23529581315172	0	0	0.371084908600834	0	0	0	0	0.332616171463248	0	1.7086244699238	0.931777910333373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164702725660067	0	0.233535975214908	0.358849813324376	0.24304295812724	0.177834527637956	0.335806868507374	0.329193448497454	0.380514348052093	0.465779139100671	0.317032415375676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168283451101459	0	0	0	0	0	0	0	0	0.248638321052162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC1187	1.82910671647165	1.75776983879085	1.8525926137483	2.02253799588669	1.98837475814648	1.88584388612942	1.27985182264352	0.832180411628183	1.10683057626247	1.99097435767613	1.91312442094352	1.84694098510884	1.83588192043727	1.76569917950941	1.79657628834877	2.02245209520395	1.96031676028623	1.77434721536037	0.565648746189269	0.336466429996482	0.212812348970103	1.63128157637035	0.987559079672394	0.354336687430811	0	0	0	0	0	0	0	0	0	0	0	0.40632690169002	0	0	0	0	0	0.40418661075444	0	0	0	0	0	0	0	0	0	1.2027549590387	0.979961302315697	0.781797411157913	0	0	0	1.76810513640296	0	0	1.58011067309624	1.53375724961765	1.78810356543016	2.01538655053013	1.84051816146615	1.60877630823618	1.58838794029915	1.50845196287387	1.79626867585871	2.02734770467159	1.95988353281397	1.87997870805054	0	0	0	0	0	0.41993572881664	0.428793894111958	0	0	0	0	0.239165471343452	0	0	0	0	0	0	0.233688894511436	0.26526804943571	0.403363508365013	0.678175891259444	0.606295948449783	0.48983618072615	0	0	0	0.48533766269629	0.417676346543155	0.385521717416285	0.238763831774417	0.240871502386899	0.332874368141494	0.63051827193662	0.52690213444771	0.383528335358802	0	0	0	0.401807036423174	0.227113850361916	0	0.232240062189676	0.408534077297033	0.549064926138509	0.64383385033353	0.678850601229887	0.674883867408536	0	0	0	0.311950057678071	0.411699230345641	0.547696791520661	0	0	0	0.375744535255474	0.486416242465324	0.624695347722746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503350521563068	0.314807540008529	0.215201496740772	0.299330252796725	0.388872775397138	0.555613627454139	0.648623234808128	0.599971464449553	0.490783291982061	0.23043573969887	0.367782959218939	0.589968368314634	0.667126985318436	0.671585379242582	0.624235206301081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
