	pErk,EGF,1,m	pErk,EGF,100,m	pErk,EPR,1,m	pErk,EPR,100,m	pErk,BTC,1,m	pErk,BTC,100,m	pErk,HRG,1,m	pErk,HRG,100,m	pErk,INS,1,m	pErk,INS,100,m	pErk,IGF-1,1,m	pErk,IGF-1,100,m	pErk,IGF-2,1,m	pErk,IGF-2,100,m	pErk,PDGF-BB,1,m	pErk,PDGF-BB,100,m	pErk,HGF,1,m	pErk,HGF,100,m	pErk,SCF,1,m	pErk,SCF,100,m	pErk,FGF-1,1,m	pErk,FGF-1,100,m	pErk,FGF-2,1,m	pErk,FGF-2,100,m	pErk,NGF-beta,1,m	pErk,NGF-beta,100,m	pErk,EFNA1,1,m	pErk,EFNA1,100,m	pErk,VEGF165,1,m	pErk,VEGF165,100,m	pAkt,EGF,1,m	pAkt,EGF,100,m	pAkt,EPR,1,m	pAkt,EPR,100,m	pAkt,BTC,1,m	pAkt,BTC,100,m	pAkt,HRG,1,m	pAkt,HRG,100,m	pAkt,INS,1,m	pAkt,INS,100,m	pAkt,IGF-1,1,m	pAkt,IGF-1,100,m	pAkt,IGF-2,1,m	pAkt,IGF-2,100,m	pAkt,PDGF-BB,1,m	pAkt,PDGF-BB,100,m	pAkt,HGF,1,m	pAkt,HGF,100,m	pAkt,SCF,1,m	pAkt,SCF,100,m	pAkt,FGF-1,1,m	pAkt,FGF-1,100,m	pAkt,FGF-2,1,m	pAkt,FGF-2,100,m	pAkt,NGF-beta,1,m	pAkt,NGF-beta,100,m	pAkt,EFNA1,1,m	pAkt,EFNA1,100,m	pAkt,VEGF165,1,m	pAkt,VEGF165,100,m
184B5	0.556802864642859	0.598390518797986	0.083424204650975	0.642497291344086	0.61830447360993	0.602147499739306	-0.022922378607706	0.179080696731057	-0.116076536535088	-0.115745647458162	-0.055527568246102	0.194699238840748	0.023538039817984	0.124952712882214	0.009727119069299	0.052183635221894	0.165997853179562	0.733877429522164	0.061975124601375	0.06251547347005	0.38507018121349	0.349741601504148	0.047311383590706	0.155995258011819	0.004928749182723	0.054348047339984	0.028568226884806	0.083173460453336	0.095534284262614	0.03694389647916	0.190244576644829	0.569740804393838	0.00311838635714	0.315852992702936	0.270155901008931	0.557476707467139	0.008971183349495	0.354398661188074	-0.195954156498804	0.017336497725545	-0.003865194729405	0.700718589158445	-0.090078878829791	0.461214971943082	-0.083512051480096	-0.011720714146999	-0.020032768567523	0.733932979951428	-0.109810085308857	-0.041933734139835	0.103481619933431	0.056790518157484	-0.020055724107989	-0.001056883541752	0.038581173385595	0.064872768731392	-0.04261529793809	-0.039648175332824	0.006083336510212	0.027092373442441
21MT1	0.204113638075518	0.15605503134309	0.090698277620468	0.391044078808656	0.248630482928325	0.349765837259134	0.522674280894298	0.637251924671597	-0.366301489729596	-0.325300955372709	-0.33071887822677	-0.072808951814299	-0.206691961941907	0.055009524841698	-0.407113347637112	-0.210677142280068	-0.086453941441528	0.492428677732723	-0.186997615652334	-0.42331601511459	-0.357301632116641	-0.154179674792086	-0.247473516505318	-0.142506350152077	-0.230912152262379	-0.322600854117284	-0.310943436016374	-0.249139851866675	0.166824949833751	0.330103917371894	0.023735566324564	0.049126123011243	-0.014157566647446	0.013089471642082	0.059721540240458	0.504212265495998	0.653461117334462	0.922011968432671	-0.193677925484681	-0.279708076187033	-0.206792417465216	-0.031615314270023	-0.130413431614676	0.031686331878512	-0.062304090388924	-0.011492750855414	-0.05801636776053	0.188968756672415	-0.044395557430708	-0.136221508243575	-0.016054996360186	0.007244614974184	-0.011045781127724	-0.0073646816673	0.069989161273424	-0.197181994403831	-0.075709261047309	-0.050847894252721	0.060276560598537	0.069333452901568
21PT	0.807807848257183	1.17185925590797	0.279746569756913	1.31049645176145	0.810010597610311	1.16609129298029	0.917017571285275	1.28839919285575	-0.070962078028749	-0.070962078028749	-0.070962078028749	0.081510362438969	-0.070962078028749	0.101242973905544	-0.070962078028749	0.222310227121122	-0.002724425603743	1.18324774072141	-0.070962078028749	-0.070962078028749	-0.070962078028749	-0.070962078028749	0.032916522698626	-0.070962078028749	-0.070962078028749	-0.070962078028749	-0.070962078028749	0.024989658260577	0.05576411870311	0.172995803008496	-0.038490595087407	0.263350541952135	0.117396750731774	0.106486585995015	0.087926405860247	0.875780659933434	0.966560662954706	1.36325160557064	-0.038490595087407	0.113155143824779	-0.038490595087407	0.123036914965704	0.03675091193616	0.208999304008175	0.02059491563239	0.220319397422915	0.02959472083008	0.581705770071327	0.029172626732811	0.095505412720644	-0.038490595087407	-0.038490595087407	-0.038490595087407	-0.038490595087407	0.403261700677672	0.383453675865299	0.043425075356685	0.106914579125192	0.281226809286998	0.290891351717466
AU565	0.539423956122669	0.613583011284115	0.546746985165354	0.651454954162235	0.540013188349762	0.625884763916443	0.473239745821202	0.584151069574449	-0.16491296684633	-0.155099733233231	-0.11742027866617	-0.073178567181262	-0.061355761948396	-0.073758067997523	0.008285166783398	-0.041955145458389	0.048491591190524	0.449793021362023	-0.044473341953122	-0.132929435167384	0.147946961934242	0.109113187927394	0.084885092895611	0.128031380322413	-0.109353282173977	-0.12378421404956	-0.016630955039714	0.055968486150999	0.061091665039593	0.093084189814454	0.009118085450772	0.42774852469526	0.021885722833499	0.413849538774061	0.063309196951956	0.575843187385832	0.49726382937644	0.704583694272214	-0.146349097566926	-0.083740362969899	-0.099457157072904	-0.02979743364207	-0.06216244082109	-0.012972919102955	-0.005839539586807	-0.010409068669044	-0.027362666406525	0.218070281159096	-0.02705559316162	0.000457610370659	-0.028764942660525	-0.014777240433261	-0.038589280842936	-0.027716227223689	-0.044424775039619	-0.012222275119871	-0.058347351257844	0.051433725058913	0.027252000948106	0.054216694341786
BT20	1.76464281185524	1.80401404134469	1.7850286592353	1.81159141348474	1.74530385875769	1.78746976703727	1.34152123326667	1.61312229912259	0.034458328249568	0.089978782865436	-0.408105482109447	0.537495234747231	-0.053291221178666	0.069164544557825	0.011836929991277	0.34135515402664	0.419377556925323	1.73310493695534	-0.111757492957704	0.284397117436892	1.0306839786744	0.928985362869268	0.18471507654597	0.607053649433149	0.543473904205623	0.732416422227394	0.255768445863459	0.30157015172471	0.471712393532672	0.696794534661	0.240460478914973	0.26724713254768	0.292980486824608	0.325405384444424	0.278288833500969	0.323762867175104	0.325474939883536	0.40207255517016	-0.052605121330927	0.009171003521533	-0.029580976259745	0.194129298737477	-0.051477798538761	0.066270621312788	-0.033076442022867	0.019561012674078	0.011506739102123	0.354406229154669	0.002663222961534	0.018677655732394	0.069296598732366	0.057571538645861	-0.001851891079915	0.011578077615912	0.041522968561982	0.076858078544192	0.017109550910008	0.039663541579306	0.041072945002784	0.00746120701043
BT474	0.332757103210234	0.496114726540928	0.279562330762131	0.561263304873628	0.412000339770672	0.607171908623461	0.562807789692099	0.740840850540271	-0.069406119662259	-0.045618034809344	-0.029330113811363	-0.030812553661817	-0.007716763638797	0.004743561926611	-0.064157853218838	0.019834096609717	0.079557995261372	0.27427418233395	-0.014207476932074	-0.031898964565933	0.191303181579299	0.247937113062084	0.246925415017053	0.391903093968362	-0.024446739278779	-0.016330341067668	0.039773802970028	0.05651041990014	0.042997638084761	0.000809567857191	-0.033110260277678	0.239532147829853	-0.044237988198726	0.182726132457547	0.049899072726282	0.589064797718728	0.389066697780701	0.670193848922489	-0.121185194662516	-0.125121361655503	-0.13160440263857	-0.136212178427524	-0.114700980020276	-0.108663615588423	-0.176530368258234	-0.071203075488145	-0.017753567598914	0.03984256429408	-0.048460057693542	-0.09021597868534	-0.006233814530175	-0.008763325435027	-0.016586440520579	0.004393061932853	-0.081375791153664	-0.111631266477569	0.024468257188477	-0.050706636458145	-0.014325782924781	-0.020797806334359
BT483	1.0195449958524	1.23220006814878	0.160471343032953	1.30437089806779	1.34751829846412	1.30117363153834	1.85076854290204	2.10147543635424	-0.082015039118617	-0.082015039118617	-0.082015039118617	-0.082015039118617	-0.082015039118617	-0.082015039118617	-0.082015039118617	-0.082015039118617	0.180941543766334	-0.082015039118617	-0.082015039118617	-0.082015039118617	1.06383372869415	1.46790503523511	1.36811621291004	1.58928239729851	0.16038261601002	-0.082015039118617	-0.082015039118617	0.086846228379735	0.544294452929301	0.621929084513224	0.031110117024109	0.05515706865187	0.024528084045358	-0.010393087199466	-0.008512746300479	0.228499909618685	0.322698549939335	0.706683938451668	-0.297425944298288	-0.323374140533601	-0.265566922455541	-0.037566583546571	-0.151390799681507	-0.135495690261385	-0.094215382564254	-0.094085672070607	-0.128875721864307	-0.253336531517841	-0.13297108831074	-0.212908231863673	0.002089198326802	-0.013426939348405	0.066595391358379	0.077316633135015	-0.073937048585571	-0.205623814304905	-0.037298602309001	0.009787877834765	-0.061372332942842	0.097223569457741
BT549	0.375936327386453	0.734185887852748	-0.053884896762436	0.648237052270957	0.440910519223454	0.559427453170842	-0.089674939899362	-0.10590041678526	-0.101202465312401	-0.048834787000365	-0.071303551887372	0.017977465551624	-0.040882208625638	-0.007524745548547	0.029881448872222	0.125044567426415	0.120054139545634	0.937542540565378	0.008237439902823	0.035097258136534	0.458513742791604	0.266679552940112	0.437135402659542	0.520648218024254	0.038234585747986	0.135284645996891	0.11364265440235	0.099911642116562	0.057627207469288	0.0479360584184	0.045422279767884	0.187908041554174	-0.035004841534419	0.121702022565835	0.040527922994035	0.12624650232561	-0.010173096778253	0.048170441632835	0.005316382403177	0.125280332977853	-0.016554922291134	0.336433168790704	-0.027751429632734	0.204886058573728	0.007450505358844	0.042755099479653	0.102979058355286	0.509657569332345	-0.006108572648722	0.000231611947438	0.039648885479977	0.029495341800275	0.004081215500392	0.0030760708084	0.067310505462842	0.031854506908213	0.037094719912056	-0.013974130086309	0.02978935811417	0.069239476328897
CAMA1	-0.039203122774308	1.91178644972478	0.346274317244217	1.67067512600281	2.18640957774083	2.28239491399883	2.48114118477083	2.75908917246729	-0.039203122774308	-0.039203122774308	-0.039203122774308	0.312551548679092	0.946089689291042	0.338307197382437	-0.039203122774308	0.137069200371538	-0.039203122774308	-0.039203122774308	-0.039203122774308	0.255214387227182	1.53888175986794	1.78346822527388	1.80349891918624	2.44221884724929	0.588987199029014	0.385629855867701	0.097559554350739	-0.039203122774308	0.145079827600434	0.867066419160956	-0.096277278995504	-0.011896188018244	-0.052511580565307	-0.013785434128389	0.081002664994987	0.278476248888841	0.280944948214262	0.387775300842813	-0.162293606005611	-0.167912645427557	-0.22083307933813	-0.048419194936201	-0.149984999826004	-0.069497426031338	-0.115395849134077	-0.096047852380379	-0.080821957234398	-0.123680282252933	-0.230419472441763	-0.138647335394102	0.072520332497328	-0.008903406595378	0.090026509927849	0.167310318877698	-0.146849075075616	-0.179878755227752	-0.057383902705344	-0.046555006070747	-0.091199509611036	-0.071936402742282
HCC1187	1.81315638967026	1.96558554672086	1.07295427017806	1.91701325457616	1.79938579609849	1.91903869028352	0.371642508385285	0.991059114491186	0	0	0	0.13544230056334	0	0.13472887025148	0	0	0	0.988171224170769	0	0.589368378800988	1.63399049604802	1.82156034007749	1.63103619301057	1.95573664851203	0	0.139978576272213	0.14293129803732	0.079721823781151	0	0	0.300773484104053	0.591436006811792	0.068274852935144	0.429511908885244	0.27083656743427	0.513649580581044	0.095715886094325	0.270632894335513	0.396613021875072	0.665856106323984	0.022868675647341	0.423782026514791	0.021166835632676	0.495618708481181	0.060764766012108	0.071566574710993	0.050651711965338	0.083996259757977	0.108036368762414	0.344453186104123	0.414605551882667	0.579792663746581	0.396062355744148	0.654315856954033	0.002553034075549	-0.040085591544925	0.015440054515115	-0.001449431214344	0.02140877242853	0.004101527048754
