				erbb2	perbb2
AU565	50091	6.397367589	HER2amp	0.0745129839175	0.0346176316262
BT-20	50105	4.77815125	TNBC	-1.48425692487	-1.93837301028
BT-474	50106	6.402237909	HER2amp	0.0241480455072	-0.00323475262687
BT-483	50107	4.77815125	HR+	-0.696476946026	-1.68037181077
BT-549	50108	4.77815125	TNBC	-1.95150516027	-1.91284708162
CAMA-1	50131	4.77815125	HR+	-1.19936792751	-2.12951776736
HCC1187	50578	4.77815125	TNBC	-1.38108177256	-1.81002846678
HCC1395	50206	4.77815125	TNBC	-2.51464102981	-2.65198715023
HCC1419	50207	6.567869915	HER2amp	0.481864480265	0.385908314265
HCC1428	50208	4.77815125	HR+	-1.41213746547	-2.65198715023
HCC1806	50211	4.77815125	TNBC	-1.85585088527	-2.33975383124
HCC1937	50212	4.77815125	TNBC	-1.62094880176	-2.65198715023
HCC1954	50213	5.557259144	HER2amp	0.307161215095	-0.0684037104431
HCC202	50214	6.120097872	HER2amp	-0.0291047220276	-0.713729727417
HCC38	50216	4.77815125	TNBC	-1.38403297431	-2.07643700724
HCC70	50219	4.95736671	TNBC	-1.73301503297	-2.65198715023
MCF7	50029	4.77815125	HR+	-1.63512258917	-2.65198715023
MDA-MB-157	50328	4.77815125	TNBC	-2.17555317604	-2.65198715023
MDA-MB-175-VII	50329	6.033899991	HR+	-1.12611959011	-1.79759160867
MDA-MB-231	50058	4.77815125	TNBC	-2.09933245983	-2.45511441777
MDA-MB-361	50331	5.045647456	HER2amp	-0.679644684215	-1.11830096771
MDA-MB-436	50333	4.77815125	TNBC	-2.55734779302	-2.65198715023
MDA-MB-453	50334	5.050382776	TNBC	-0.607259866885	-1.01789359655
MDA-MB-468	50335	4.77815125	TNBC	-4.0735910771	-2.22632771147
SK-BR-3	50057	6.293390688	HER2amp	0.156956916956	0.0767661072343
UACC-893	50557	5.73766692	HER2amp	0.536869157269	0.326958031539
ZR-75-1	50574	4.77815125	HR+	-1.22766710548	-2.24449385051
