cell line	drug	target	log10[max. dose (M)]	R^2 (goodness of fit)	log10[EC50 (M)]	log10[IC50 (M)]	log10[GI50 (M)]	HillSlope	E_inf	E_max	AUC
184A1	17-AAG	HSP90	-4.0	0.8258	-7.791	-7.5836	-8.0006	2.461	0.3454	0.3454	5.1026
184A1	5-FU	TYMS	-1.7167	0.9194	-3.9717	-3.8959	-4.3016	1.4509999999999998	0.1117	0.11217	5.5302
184A1	5-FUdR	TYMS	-2.301	0.9309999999999999	-2.9819	-2.9819	-3.6467	0.5276	0	0.30424	7.3885
184A1	AG1478	EGFR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	BIBW2992	EGFR/HER2	-4.1759	0.9303	-7.3599	-7.2239	-7.7859	0.6118	0.08745	0.097615	4.4828
184A1	Baicalein	Lipoxygenase	-3.7773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.7889
184A1	Bortezomib	Proteasome	-3.7773	0.9426	-7.1453	-7.0276	-7.5883	0.7653	0.09326	0.097206	4.3399
184A1	Bosutinib	Src	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	CGC-11047	Polyamine analogue	-2.301	0.87465	-3.3727	-3.3723	-4.2763	2.1165	0	0.0078503	6.2622
184A1	CGC-11144	Polyamine analogue	-3.15	0.97155	-6.157	-6.13	-6.362	2.4415	0.09835	0.1035	4.7721
184A1	CPT-11	TOP1	-4.0696	0.8689	-5.1516	-5.0068	-5.4106	1.6740000000000002	0.2142	0.22613000000000003	6.9583
184A1	Carboplatin	DNA cross-linker	-2.8697	0.9549	-4.7112	-4.6379	-4.9293	2.5095	0.1727	0.17273	6.2179
184A1	Cisplatin	DNA cross-linker	-3.6021	0.94265	-5.2921	-5.2555	-5.5507	2.273	0.087535	0.088616	6.4071
184A1	Docetaxel	TUBB	-5.0	0.775	-8.227	-5.0	-6.0351	1.31	0.716	0.71602	7.8073
184A1	Doxorubicin	TOP2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	Epirubicin	TOP2	-3.7645	0.9423	-6.1815	-6.1671	-6.6338	1.183	0.01932	0.020674	5.3206
184A1	Erlotinib	EGFR	-4.1759	0.9448	-6.6589	-6.4925	-6.6897	3.4589999999999996	0.3676	0.3676	6.7185
184A1	Etoposide	TOP2	-3.4776	0.95145	-4.5937	-4.5938	-5.0898	0.7937	0	0.11737	6.7842
184A1	Everolimus	MTOR	-4.1759	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.331
184A1	Fascaplysin	CDK4	-4.4776	0.9829	-6.3051	-6.3045	-6.4382	2.427	0	0	5.973
184A1	GSK1059615	PI3K	-3.8761	0.961	-7.3446	-6.9876	-7.7542	1.109	0.2956	0.29573	5.16
184A1	GSK1070916	AURK	-4.4776	0.9369	-5.1921	-4.8387	-6.0739	0.61645	0.1938	0.40765999999999997	7.6066
184A1	GSK1120212	MEK	-4.7773	0.9456	-8.4983	-6.0092	-8.716000000000001	1.0862	0.499	0.49909	6.0545
184A1	GSK1838705A	IGF1R	-4.1759	0.95315	-6.4634	-6.13	-6.4424	1.95	0.37595	0.376	6.8062
184A1	GSK2119563A	PI3K	-4.4776	0.9578	-7.0176	-6.1153	-7.0685	0.7118	0.386	0.39541	6.5306
184A1	GSK2126458A	PI3K	-4.4776	0.9136	-8.6666	-8.1611	-8.7804	0.9289	0.3302	0.33029000000000003	4.7168
184A1	GSK461364	PLK1	-4.4776	0.9640000000000001	-4.8844	-4.8844	-5.2355	2.302	0	0.10374000000000001	7.8611
184A1	GSK923295	CENPE	-4.4776	0.9535	-4.7688	-4.7687	-4.9643	2.7460000000000004	0	0.13694	7.9383
184A1	Gefitinib	EGFR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
184A1	Geldanamycin	HSP90	-4.0	0.9712	-8.533999999999999	-8.299	-8.6228	3.7815	0.4215	0.4215	4.916
184A1	Gemcitabine	DNA replication	-3.8416	0.8958	-4.9646	-4.8599	-6.3316	0.4675	0.05319	0.27091	6.6571
184A1	IKK 16	IKK	-4.1759	0.9647	-5.7659	-5.7658	-6.0556	1.251	0	0.010153	6.4737
184A1	Ibandronate sodium salt	FDPS	-2.8239	0.9791	-3.6425	-3.6426	-3.8459	1.834	0	0.030548000000000002	7.2563
184A1	Imatinib	ABL/KIT/PDGFR	-3.248	0.9625	-4.6160000000000005	-4.6155	-4.8241	2.084	0	0.0014107000000000002	6.7905
184A1	Ixabepilone	TUBB	-4.4045	0.9686	-6.385	-6.3849	-6.7272	1.6995	0	0.034261	5.5116
184A1	LBH589	HDAC	-4.4776	0.9699	-6.2706	-6.2229	-6.5818	0.9837	0.05169	0.067735	6.2712
184A1	Lestaurtinib	FLT3/JAK2/TrkA	-4.4776	0.9746	-5.7546	-5.745	-5.8574	3.092	0.03302	0.033129	6.9231
