table,field,alias,queryset,"show in detail","show in list",show_as_extra_field,is_lincs_field,detail_order,list_order,use_for_search_index,is_unrestricted,"Unique ID","DWG Field Name","HMS Field Name",Description,,,,,,,,,
fieldinformation,table,,,TRUE,FALSE,,FALSE,1,1,TRUE,TRUE,1,,Table,"Name of the table that this FieldInformation is for.",,,,,,,,,
fieldinformation,field,,,TRUE,FALSE,,FALSE,2,2,TRUE,TRUE,2,,Field,"Name of the field that this FieldInformation is for.",,,,,,,,,
fieldinformation,alias,,,TRUE,FALSE,,FALSE,3,3,TRUE,TRUE,3,,Alias,"Name used for this field is for when there is a name conflict in queries.",,,,,,,,,
fieldinformation,queryset,,,TRUE,FALSE,,FALSE,4,4,TRUE,TRUE,4,,Queryset,"Name of the queryset that this FieldInformation is for.",,,,,,,,,
fieldinformation,is_lincs_field,,,TRUE,TRUE,,FALSE,5,5,TRUE,TRUE,5,,"Is LINCs Field","Whether this field is one that has been specified by the Data Working Group",,,,,,,,,
fieldinformation,show_in_detail,,,TRUE,FALSE,,FALSE,6,6,FALSE,TRUE,6,,"Show in Detail View","Show this field in the detail view.",,,,,,,,,
fieldinformation,show_in_list,,,TRUE,FALSE,,FALSE,7,7,FALSE,TRUE,7,,"Show in List View","Show this field in the list view.",,,,,,,,,
fieldinformation,show_as_extra_field,,,TRUE,FALSE,,FALSE,8,8,FALSE,TRUE,fi:8,,"Show as an extra field selection","Show this field in the ""extra fields"" form in the list view",,,,,,,,,
fieldinformation,detail_order,,,TRUE,FALSE,,FALSE,9,9,FALSE,TRUE,8,,"Detail Sort Order","Sort order to use when displaying this field with other fields in the detail view.",,,,,,,,,
fieldinformation,list_order,,,TRUE,FALSE,,FALSE,10,10,FALSE,TRUE,8a,,"List Sort Order","Sort order to use when displaying this field with other fields in the list view.",,,,,,,,,
fieldinformation,use_for_search_index,,,TRUE,FALSE,,FALSE,11,11,TRUE,TRUE,9,,"Use for Search Index","Whether to use this field to create the full text search index for the table",,,,,,,,,
fieldinformation,dwg_version,,,TRUE,TRUE,,FALSE,12,12,TRUE,TRUE,10,,"Data Working Group Version","The version of the LINCS Data Working Group Standards Document from which this column definition was taken.  See https://sites.google.com/site/lincsdwgdevelopment/standards-and-use",,,,,,,,,
fieldinformation,unique_id,,,TRUE,TRUE,,FALSE,13,13,TRUE,TRUE,11,,"Unique ID","Unique ID (DWG)",,,,,,,,,
fieldinformation,dwg_field_name,,,TRUE,TRUE,,FALSE,14,14,TRUE,TRUE,12,,"DWG Field Name","Field Name (DWG)",,,,,,,,,
fieldinformation,is_unrestricted,,,TRUE,FALSE,,FALSE,15,15,FALSE,TRUE,13,,"Is Unrestricted","If this is a restricted entity, is this field is allowed to be viewed.",,,,,,,,,
