cell line	type	target	basal level
184B5	TNBC	Erk	-3.3432
AU-565	HER2amp	Erk	-3.1426
BT-20	TNBC	Erk	-3.3487
BT-474	HER2amp	Erk	-2.9764
BT-483	HR+	Erk	-2.774
BT-549	TNBC	Erk	-2.7611
CAMA-1	HR+	Erk	-2.9846
HCC1187	TNBC	Erk	-2.9097
HCC1395	TNBC	Erk	-3.1715
HCC1419	HER2amp	Erk	-2.5957
HCC1428	HR+	Erk	-2.9757
HCC1500	HR+	Erk	-2.7887
HCC1569	HER2amp	Erk	-2.907
HCC1806	TNBC	Erk	-3.4977
HCC1937	TNBC	Erk	-2.761
HCC1954	HER2amp	Erk	-2.8156
HCC202	HER2amp	Erk	-2.6396
HCC38	TNBC	Erk	-2.7826
HCC70	TNBC	Erk	-2.7303
Hs 578T	TNBC	Erk	-2.9782
MCF 10A	TNBC	Erk	-3.3755
MCF 10F	TNBC	Erk	-3.361
MCF-12A	TNBC	Erk	-3.5219
MCF7	HR+	Erk	-2.8096
MDA-MB-134-VI	HR+	Erk	-2.8457
MDA-MB-157	TNBC	Erk	-2.962
MDA-MB-175-VII	HR+	Erk	-2.8453
MDA-MB-231	TNBC	Erk	-3.4001
MDA-MB-361	HER2amp	Erk	-2.9212
MDA-MB-415	HR+	Erk	-2.6116
MDA-MB-436	TNBC	Erk	-3.101
MDA-MB-453	TNBC	Erk	-2.845
MDA-MB-468	TNBC	Erk	-3.2355
SK-BR-3	HER2amp	Erk	-2.8722
T47D	HR+	Erk	-3.2699
UACC-812	HER2amp	Erk	-2.6349
UACC-893	HER2amp	Erk	-2.9236
ZR-75-1	HR+	Erk	-2.6752
ZR-75-30	HER2amp	Erk	-3.0172
184B5	TNBC	Akt	-1.8391
AU-565	HER2amp	Akt	-1.4967
BT-20	TNBC	Akt	-1.7112
BT-474	HER2amp	Akt	-1.2266
BT-483	HR+	Akt	-1.4057
BT-549	TNBC	Akt	-1.5463
CAMA-1	HR+	Akt	-1.7958
HCC1187	TNBC	Akt	-1.1699
HCC1395	TNBC	Akt	-1.3977
HCC1419	HER2amp	Akt	-1.166
HCC1428	HR+	Akt	-1.1205
HCC1500	HR+	Akt	-1.5218
HCC1569	HER2amp	Akt	-1.5888
HCC1806	TNBC	Akt	-1.9335
HCC1937	TNBC	Akt	-1.6363
HCC1954	HER2amp	Akt	-1.5339
HCC202	HER2amp	Akt	-1.0768
HCC38	TNBC	Akt	-1.5148
HCC70	TNBC	Akt	-1.5193
Hs 578T	TNBC	Akt	-1.4128
MCF 10A	TNBC	Akt	-1.5922
MCF 10F	TNBC	Akt	-1.4727
MCF-12A	TNBC	Akt	-1.7818
MCF7	HR+	Akt	-0.893
MDA-MB-134-VI	HR+	Akt	-1.6607
MDA-MB-157	TNBC	Akt	-1.2641
MDA-MB-175-VII	HR+	Akt	-1.3201
MDA-MB-231	TNBC	Akt	-1.4434
MDA-MB-361	HER2amp	Akt	-1.1707
MDA-MB-415	HR+	Akt	-1.4753
MDA-MB-436	TNBC	Akt	-1.82
MDA-MB-453	TNBC	Akt	-0.92038
MDA-MB-468	TNBC	Akt	-1.7361
SK-BR-3	HER2amp	Akt	-1.4597
T47D	HR+	Akt	-1.4956
UACC-812	HER2amp	Akt	-1.2027
UACC-893	HER2amp	Akt	-1.1473
ZR-75-1	HR+	Akt	-0.98661
ZR-75-30	HER2amp	Akt	-1.1005
184B5	TNBC	EGFR	-0.69994
AU-565	HER2amp	EGFR	-1.2363
BT-20	TNBC	EGFR	-0.37109
BT-474	HER2amp	EGFR	-2.1675
BT-483	HR+	EGFR	-2.7102
BT-549	TNBC	EGFR	-0.85613
CAMA-1	HR+	EGFR	-1.6255
HCC1187	TNBC	EGFR	-1.1039
