.	GI50(AG1478)	Subtype
184B5	nan	TNBC
AU-565	-4.885	HER2amp
BT-20	-5.696	TNBC
BT-474	-4.977	HER2amp
BT-483	-4.176	HR+
BT-549	-4.378	TNBC
CAMA-1	-4.176	HR+
HCC1187	-5.124	TNBC
HCC1395	-4.400	TNBC
HCC1419	-4.969	HER2amp
HCC1428	-4.748	HR+
HCC1500	nan	HR+
HCC1569	nan	HER2amp
HCC1806	-5.373	TNBC
HCC1937	-4.408	TNBC
HCC1954	-5.507	HER2amp
HCC202	-4.433	HER2amp
HCC38	-4.176	TNBC
HCC70	-5.764	TNBC
Hs 578T	nan	TNBC
MCF 10A	nan	TNBC
MCF 10F	nan	TNBC
MCF-12A	nan	TNBC
MCF7__b	-4.176	HR+
MDA-MB-134-VI	-4.176	HR+
MDA-MB-157	-4.301	TNBC
MDA-MB-175-VII	-5.505	HR+
MDA-MB-231__a	-4.399	TNBC
MDA-MB-361	-4.186	HER2amp
MDA-MB-415	nan	HR+
MDA-MB-436	-4.256	TNBC
MDA-MB-453	-4.352	TNBC
SK-BR-3__a	-4.798	HER2amp
T47D	-4.301	HR+
UACC-812	-4.911	HER2amp
UACC-893	-4.908	HER2amp
ZR-75-1	-4.176	HR+
ZR-75-30	nan	HER2amp
