.	PP Erk	PP Akt	PP EGFR	PP ErbB2	PP ErbB3	PP ErbB4	PP InsR	PP IGF1R	PP IGF2	PP VEGFR1	PP VEGFR2	PP VEGFR3	PP PDGFRa	PP PDGFRaRnD	PP PDGFRb	PP Met	PP ckit	PP EphA2	PP Src	PP TrkA	PP FGFR1	PP FGFR2	PP FGFR3	PP FGFR4	PP EpCA	PP pErk(RnD)	PP pErk(CST)	PP pAkt	PP pEGFR	PP pErbB2	PP pErbB3	PP pErbB4	PP pInsR	PP pIGF1R	PP pIGF1R- b	PP pIGF1RY1131	PP pVEGFR1	PP pVEGFR2	PP pVEGFR3	PP pPDGFRa	PP pPDGFRb	PP pMet	PP pckit	PP pEphA2	PP pSrc	PP pTrkA	
184B5	-3.343	-1.839	-0.700	-1.754	-2.676	-4.831	-2.829	-1.612	-1.607	-3.965	-2.973	-3.714	-3.468	-4.710	-5.201	-0.375	-6.762	-1.646	-0.137	-5.795	-0.881	-5.683	-4.739	-6.249	-1.358	-3.918	-3.005	-1.190	-1.133	-2.355	-4.284	-2.711	-1.122	-1.737	-1.773	-1.553	-4.433	-4.883	-4.100	-2.900	-3.872	-3.056	-2.903	-4.647	-3.327	-3.367
AU-565	-3.143	-1.497	-1.236	0.075	-1.537	-4.831	-2.234	-2.556	-1.654	-3.885	-6.160	-3.714	-3.749	-4.710	-5.201	-1.113	-6.762	-2.177	-1.128	-5.795	-0.762	-5.683	-4.739	-6.249	-0.566	-3.386	-2.735	-0.563	-0.106	0.035	-1.120	-1.727	-1.254	-1.948	-1.876	-2.052	-4.433	-4.883	-2.731	-2.758	-3.872	-2.510	-2.903	-3.818	-4.617	-3.934
BT-20	-3.349	-1.711	-0.371	-1.484	-2.130	-4.831	-3.084	-1.530	-2.425	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-0.711	-6.762	-2.420	-0.183	-5.795	-0.877	-5.683	-4.739	-6.249	-0.472	-3.952	-3.368	-0.689	-0.711	-1.938	-4.284	-2.485	-2.298	-4.432	-2.370	-2.045	-4.433	-4.883	-4.100	-5.024	-3.872	-2.187	-2.903	-4.647	-3.564	-3.934
BT-474	-2.976	-1.227	-2.167	0.024	-1.579	-4.831	-2.598	-1.807	-1.734	-3.193	-6.160	-3.714	-3.749	-3.650	-5.201	-2.483	-6.762	-2.737	-1.869	-5.795	-0.750	-2.763	-3.184	-2.669	-1.000	-3.771	-3.172	-0.646	-0.906	-0.003	-1.189	-1.596	-1.477	-1.868	-1.323	-2.737	-4.433	-4.883	-2.472	-2.261	-3.872	-3.085	-2.903	-4.647	-4.643	-3.186
BT-483	-2.774	-1.406	-2.710	-0.696	-1.034	-4.831	-2.129	-1.022	-1.826	-3.143	-6.160	-3.714	-3.749	-4.710	-5.201	-4.074	-6.762	-4.578	0.682	-5.795	-0.486	-5.683	-4.739	-1.781	-0.377	-4.577	-3.203	-0.916	-2.498	-1.680	-4.284	-2.363	-1.236	-0.965	-0.913	-1.122	-4.433	-4.883	-4.100	-2.542	-3.872	-4.786	-2.903	-4.647	-2.634	-3.934
BT-549	-2.761	-1.546	-0.856	-1.952	-4.158	-4.831	-4.212	-2.236	-1.115	-3.302	-6.160	-3.714	-3.304	-4.710	-3.823	-0.520	-6.762	-0.543	-0.531	-5.795	-0.531	-5.683	-4.739	-6.249	-4.074	-3.322	-2.690	-0.518	-1.787	-1.913	-4.284	-1.838	-2.126	-2.237	-1.931	-2.737	-4.433	-4.883	-4.100	-2.343	-3.872	-4.786	-2.903	-4.647	-3.692	-3.934
CAMA-1	-2.985	-1.796	-1.626	-1.199	-1.415	-2.610	-2.751	-2.250	-1.898	-3.917	-6.160	-3.714	-3.749	-4.710	-3.868	-4.074	-6.762	-3.125	-1.239	-5.795	-0.898	-5.683	-4.739	-2.380	-1.136	-4.577	-3.321	-0.568	-3.295	-2.130	-4.284	-2.849	-1.702	-4.432	-3.309	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-4.594	-3.934
HCC1187	-2.910	-1.170	-1.104	-1.381	-2.459	-4.831	-1.955	-3.233	-1.276	-3.113	-2.731	-3.714	-3.406	-4.710	-3.539	-4.074	-1.724	-2.426	-0.542	-5.795	-0.553	-3.338	-4.739	-6.249	-0.800	-3.807	-3.195	-0.604	-1.987	-1.810	-4.284	-2.823	-4.790	-4.432	-3.309	-2.737	-4.433	-1.932	-4.100	-2.930	-3.872	-4.786	-2.903	-4.647	-4.189	-3.934
HCC1395	-3.172	-1.398	-1.405	-2.515	-4.158	-4.831	-4.212	-2.844	-1.925	-3.430	-6.160	-3.714	-3.098	-4.710	-5.201	-1.531	-6.762	-1.807	-0.911	-5.795	-0.764	-5.683	-4.739	-6.249	-4.074	-4.577	-2.846	-0.452	-2.559	-2.652	-4.284	-3.165	-2.139	-4.432	-3.309	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-3.801	-3.934
HCC1419	-2.596	-1.166	-4.074	0.482	-1.371	-4.831	-4.212	-2.260	-1.417	-5.125	-6.160	-3.714	-3.749	-4.710	-3.480	-4.074	-6.762	-1.702	-1.885	-5.795	-0.740	-5.683	-3.541	-2.833	-0.472	-3.203	-2.315	-0.247	-1.061	0.386	-0.803	-0.563	-1.048	-1.248	-1.045	-2.737	-4.433	-2.945	-2.231	-1.872	-3.872	-2.280	-2.903	-2.983	-4.909	-2.726
