.	GF pErk EGF:100 @T10	GF pErk EGF:100 @T30	GF pErk EGF:100 @T90	GF pErk EPR:100 @T10	GF pErk EPR:100 @T30	GF pErk EPR:100 @T90	GF pErk BTC:100 @T10	GF pErk BTC:100 @T30	GF pErk BTC:100 @T90	GF pErk HRG:100 @T10	GF pErk HRG:100 @T30	GF pErk HRG:100 @T90	GF pErk INS:100 @T10	GF pErk INS:100 @T30	GF pErk INS:100 @T90	GF pErk IGF-1:100 @T10	GF pErk IGF-1:100 @T30	GF pErk IGF-1:100 @T90	GF pErk IGF-2:100 @T10	GF pErk IGF-2:100 @T30	GF pErk IGF-2:100 @T90	GF pErk PDGFBB:100 @T10	GF pErk PDGFBB:100 @T30	GF pErk PDGFBB:100 @T90	GF pErk HGF:100 @T10	GF pErk HGF:100 @T30	GF pErk HGF:100 @T90	GF pErk SCF:100 @T10	GF pErk SCF:100 @T30	GF pErk SCF:100 @T90	GF pErk FGF1:100 @T10	GF pErk FGF1:100 @T30	GF pErk FGF1:100 @T90	GF pErk FGF2:100 @T10	GF pErk FGF2:100 @T30	GF pErk FGF2:100 @T90	GF pErk NGF:100 @T10	GF pErk NGF:100 @T30	GF pErk NGF:100 @T90	GF pErk EFNA1:100 @T10	GF pErk EFNA1:100 @T30	GF pErk EFNA1:100 @T90	GF pErk VEGFF:100 @T10	GF pErk VEGFF:100 @T30	GF pErk VEGFF:100 @T90	GF pAkt EGF:100 @T10	GF pAkt EGF:100 @T30	GF pAkt EGF:100 @T90	GF pAkt EPR:100 @T10	GF pAkt EPR:100 @T30	GF pAkt EPR:100 @T90	GF pAkt BTC:100 @T10	GF pAkt BTC:100 @T30	GF pAkt BTC:100 @T90	GF pAkt HRG:100 @T10	GF pAkt HRG:100 @T30	GF pAkt HRG:100 @T90	GF pAkt INS:100 @T10	GF pAkt INS:100 @T30	GF pAkt INS:100 @T90	GF pAkt IGF-1:100 @T10	GF pAkt IGF-1:100 @T30	GF pAkt IGF-1:100 @T90	GF pAkt IGF-2:100 @T10	GF pAkt IGF-2:100 @T30	GF pAkt IGF-2:100 @T90	GF pAkt PDGFBB:100 @T10	GF pAkt PDGFBB:100 @T30	GF pAkt PDGFBB:100 @T90	GF pAkt HGF:100 @T10	GF pAkt HGF:100 @T30	GF pAkt HGF:100 @T90	GF pAkt SCF:100 @T10	GF pAkt SCF:100 @T30	GF pAkt SCF:100 @T90	GF pAkt FGF1:100 @T10	GF pAkt FGF1:100 @T30	GF pAkt FGF1:100 @T90	GF pAkt FGF2:100 @T10	GF pAkt FGF2:100 @T30	GF pAkt FGF2:100 @T90	GF pAkt NGF:100 @T10	GF pAkt NGF:100 @T30	GF pAkt NGF:100 @T90	GF pAkt EFNA1:100 @T10	GF pAkt EFNA1:100 @T30	GF pAkt EFNA1:100 @T90	GF pAkt VEGFF:100 @T10	GF pAkt VEGFF:100 @T30	GF pAkt VEGFF:100 @T90	GF pP38 EGF:100 @T10	GF pP38 EGF:100 @T30	GF pP38 EGF:100 @T90	GF pP38 EPR:100 @T10	GF pP38 EPR:100 @T30	GF pP38 EPR:100 @T90	GF pP38 BTC:100 @T10	GF pP38 BTC:100 @T30	GF pP38 BTC:100 @T90	GF pP38 HRG:100 @T10	GF pP38 HRG:100 @T30	GF pP38 HRG:100 @T90	GF pP38 INS:100 @T10	GF pP38 INS:100 @T30	GF pP38 INS:100 @T90	GF pP38 IGF-1:100 @T10	GF pP38 IGF-1:100 @T30	GF pP38 IGF-1:100 @T90	GF pP38 IGF-2:100 @T10	GF pP38 IGF-2:100 @T30	GF pP38 IGF-2:100 @T90	GF pP38 PDGFBB:100 @T10	GF pP38 PDGFBB:100 @T30	GF pP38 PDGFBB:100 @T90	GF pP38 HGF:100 @T10	GF pP38 HGF:100 @T30	GF pP38 HGF:100 @T90	GF pP38 SCF:100 @T10	GF pP38 SCF:100 @T30	GF pP38 SCF:100 @T90	GF pP38 FGF1:100 @T10	GF pP38 FGF1:100 @T30	GF pP38 FGF1:100 @T90	GF pP38 FGF2:100 @T10	GF pP38 FGF2:100 @T30	GF pP38 FGF2:100 @T90	GF pP38 NGF:100 @T10	GF pP38 NGF:100 @T30	GF pP38 NGF:100 @T90	GF pP38 EFNA1:100 @T10	GF pP38 EFNA1:100 @T30	GF pP38 EFNA1:100 @T90	GF pP38 VEGFF:100 @T10	GF pP38 VEGFF:100 @T30	GF pP38 VEGFF:100 @T90	GF pJNK EGF:100 @T10	GF pJNK EGF:100 @T30	GF pJNK EGF:100 @T90	GF pJNK EPR:100 @T10	GF pJNK EPR:100 @T30	GF pJNK EPR:100 @T90	GF pJNK BTC:100 @T10	GF pJNK BTC:100 @T30	GF pJNK BTC:100 @T90	GF pJNK HRG:100 @T10	GF pJNK HRG:100 @T30	GF pJNK HRG:100 @T90	GF pJNK INS:100 @T10	GF pJNK INS:100 @T30	GF pJNK INS:100 @T90	GF pJNK IGF-1:100 @T10	GF pJNK IGF-1:100 @T30	GF pJNK IGF-1:100 @T90	GF pJNK IGF-2:100 @T10	GF pJNK IGF-2:100 @T30	GF pJNK IGF-2:100 @T90	GF pJNK PDGFBB:100 @T10	GF pJNK PDGFBB:100 @T30	GF pJNK PDGFBB:100 @T90	GF pJNK HGF:100 @T10	GF pJNK HGF:100 @T30	GF pJNK HGF:100 @T90	GF pJNK SCF:100 @T10	GF pJNK SCF:100 @T30	GF pJNK SCF:100 @T90	GF pJNK FGF1:100 @T10	GF pJNK FGF1:100 @T30	GF pJNK FGF1:100 @T90	GF pJNK FGF2:100 @T10	GF pJNK FGF2:100 @T30	GF pJNK FGF2:100 @T90	GF pJNK NGF:100 @T10	GF pJNK NGF:100 @T30	GF pJNK NGF:100 @T90	GF pJNK EFNA1:100 @T10	GF pJNK EFNA1:100 @T30	GF pJNK EFNA1:100 @T90	GF pJNK VEGFF:100 @T10	GF pJNK VEGFF:100 @T30	GF pJNK VEGFF:100 @T90	
184B5	0.613	0.587	0.382	0.586	0.514	0.393	0.619	0.534	0.207	0.126	0.055	-0.000	0.020	-0.088	-0.066	0.325	0.041	0.037	0.178	-0.127	-0.082	-0.064	-0.158	0.012	0.638	0.605	0.412	-0.015	-0.153	-0.046	0.353	0.105	0.053	-0.023	0.024	0.006	0.033	0.005	0.040	-0.032	-0.068	0.040	-0.063	-0.057	0.020	0.421	0.323	0.446	0.323	0.095	0.136	0.419	0.277	0.148	0.341	0.228	0.216	0.199	0.138	0.213	0.526	0.491	0.487	0.331	0.292	0.438	-0.004	0.056	0.024	0.389	0.403	0.379	-0.646	0.034	0.043	0.126	0.023	0.018	-0.061	-0.027	-0.031	0.012	-0.036	0.006	-0.075	-0.063	-0.010	-0.044	-0.062	-0.012	0.080	0.102	0.027	0.043	0.006	0.022	0.127	0.060	0.026	0.010	-0.009	0.008	0.024	0.000	0.008	0.030	-0.009	0.000	0.018	0.016	0.061	0.006	0.012	-0.014	0.083	0.087	0.019	0.025	0.011	0.019	0.021	0.001	0.010	-0.072	-0.033	-0.024	0.007	-0.032	-0.006	-0.018	-0.000	0.019	-0.056	-0.004	-0.029	0.063	0.074	0.130	0.118	0.003	-0.117	0.067	-0.080	0.028	-0.009	-0.021	-0.015	-0.003	-0.003	-0.018	0.017	0.020	-0.005	-0.034	0.027	0.042	0.099	0.046	0.040	0.088	0.085	0.063	0.360	0.025	0.489	0.062	0.062	0.040	-0.014	0.214	-0.014	0.089	0.075	-0.052	0.054	-0.024	0.115	0.015	-0.002	0.014
AU-565	0.534	0.506	0.377	0.516	0.518	0.391	0.516	0.503	0.366	0.534	0.469	0.259	-0.025	-0.016	-0.050	-0.022	-0.050	-0.058	-0.024	-0.035	-0.050	0.049	0.034	0.007	0.504	0.403	0.276	-0.021	-0.036	-0.089	0.191	0.019	0.031	0.229	0.084	0.069	-0.029	-0.063	-0.062	0.026	0.038	0.030	0.038	-0.095	-0.043	0.274	0.242	0.168	0.229	0.240	0.153	0.275	0.320	0.261	0.317	0.334	0.241	0.015	0.060	0.047	0.016	0.039	0.044	-0.035	0.037	0.020	-0.018	0.028	-0.008	0.188	0.207	0.095	-0.044	-0.024	0.033	-0.043	0.044	0.034	-0.051	0.024	-0.021	-0.067	-0.032	-0.090	-0.024	-0.015	0.012	-0.008	0.055	-0.057	0.646	0.170	-0.004	0.612	0.158	0.008	0.592	0.220	0.010	0.546	0.073	-0.041	0.005	0.045	0.007	-0.027	0.006	-0.039	0.006	0.023	-0.025	0.042	0.062	0.041	0.196	0.068	0.031	-0.003	0.026	0.018	0.024	0.020	0.012	0.018	-0.024	-0.024	-0.006	0.003	-0.052	0.012	0.048	-0.058	-0.045	-0.071	-0.031	0.349	0.242	0.096	0.297	0.266	0.096	0.310	0.251	0.079	0.275	0.177	0.068	0.021	0.020	0.018	0.008	0.138	-0.006	0.014	0.038	0.030	0.012	0.022	-0.003	0.201	0.139	0.047	0.222	0.020	-0.001	0.031	0.015	0.013	0.038	0.003	0.011	0.033	0.038	0.020	0.022	0.045	0.022	0.022	0.021	0.007
BT-20	0.921	0.936	0.808	0.933	0.981	0.852	0.936	0.926	0.781	0.893	0.784	0.591	0.059	-0.002	0.185	0.051	0.049	-0.007	0.010	-0.007	0.087	0.052	-0.002	0.033	0.892	0.843	0.698	0.041	0.011	-0.078	0.550	0.200	0.122	0.215	0.142	0.100	-0.025	-0.147	-0.112	0.051	-0.009	0.035	-0.102	-0.158	-0.144	0.150	0.186	0.199	0.182	0.202	0.211	0.167	0.208	0.216	0.240	0.236	0.210	-0.045	-0.003	-0.008	0.046	0.111	0.074	0.010	0.066	0.096	0.028	0.008	-0.035	0.158	0.130	0.139	-0.013	-0.001	-0.033	0.057	0.012	0.024	-0.021	-0.017	-0.026	-0.034	-0.017	-0.032	-0.051	-0.032	-0.040	-0.061	-0.057	-0.023	0.112	0.159	0.081	0.122	0.121	0.040	0.095	0.132	0.022	0.057	0.023	-0.021	0.052	-0.025	0.090	-0.010	0.085	0.195	0.028	-0.053	0.067	0.029	-0.024	0.003	0.105	0.051	0.033	-0.006	0.022	0.055	0.016	0.030	-0.007	0.033	0.056	0.011	0.038	-0.039	0.057	-0.033	-0.011	0.030	0.126	0.020	-0.031	0.109	0.134	0.110	0.101	0.092	0.068	0.071	0.103	0.069	0.050	-0.016	0.010	0.030	0.032	0.009	0.041	0.028	0.001	0.019	0.053	-0.017	0.027	0.022	-0.023	0.020	0.010	0.039	0.014	0.020	0.050	0.003	-0.036	0.006	0.006	-0.009	0.003	0.024	0.001	0.010	0.022	0.040	0.020	0.025	0.006	0.014
BT-474	0.721	0.521	0.318	0.715	0.594	0.491	0.820	0.687	0.491	0.907	0.906	0.753	0.019	0.047	0.146	0.022	0.025	0.057	0.051	0.037	0.103	0.013	0.058	0.051	0.446	0.283	0.245	0.085	0.102	0.147	0.413	0.222	0.103	0.473	0.327	0.273	0.039	0.040	0.069	0.054	0.124	0.100	-0.048	0.016	0.058	0.221	0.118	0.196	0.246	0.137	0.173	0.430	0.419	0.470	0.496	0.500	0.535	0.031	-0.001	0.010	0.043	0.065	0.009	0.042	0.022	0.005	0.001	0.009	0.000	0.092	0.029	0.009	0.030	0.047	0.040	0.022	0.013	0.022	0.017	-0.036	0.006	0.004	0.006	-0.065	-0.023	0.005	-0.046	0.064	-0.046	-0.025	0.184	0.074	-0.018	0.171	0.098	0.019	0.204	0.105	0.062	0.175	0.224	0.101	0.002	-0.003	-0.005	0.003	0.022	-0.014	-0.001	0.027	0.002	0.035	0.021	0.013	0.073	0.026	0.012	0.059	0.021	0.018	0.050	0.048	0.036	0.036	0.023	0.009	-0.017	0.010	-0.011	0.003	0.007	-0.031	0.031	-0.060	-0.054	0.010	0.017	-0.019	0.038	0.017	0.006	0.027	-0.028	-0.029	0.288	-0.004	-0.076	-0.082	-0.011	0.008	-0.130	-0.117	-0.006	-0.152	-0.109	0.014	0.013	0.011	0.022	-0.001	0.016	0.133	-0.105	-0.028	-0.020	-0.013	-0.010	-0.003	-0.009	-0.012	0.004	0.003	0.086	-0.026	0.035	-0.000	-0.001	-0.015	0.017	0.022
BT-483	1.338	0.848	0.509	1.029	0.673	0.631	1.351	0.756	0.462	1.518	1.460	1.331	0.083	0.000	-0.008	0.143	0.075	0.089	0.175	0.029	0.017	0.149	0.017	0.025	0.262	0.067	-0.001	0.229	0.041	-0.081	1.134	0.857	0.889	1.164	0.920	0.910	-0.028	-0.100	-0.065	-0.000	-0.040	0.018	0.034	-0.037	-0.039	0.215	0.086	0.117	0.066	0.089	0.080	0.349	0.323	0.432	0.656	0.622	0.592	-0.008	0.002	-0.024	0.063	0.070	0.074	0.006	-0.001	-0.010	-0.017	-0.015	-0.080	0.008	0.000	-0.099	-0.028	-0.010	-0.103	0.023	0.077	0.085	-0.013	0.049	0.040	-0.034	-0.042	-0.082	-0.089	-0.084	-0.060	-0.107	-0.050	-0.059	0.029	-0.004	-0.031	-0.022	0.059	-0.013	0.052	-0.019	-0.029	0.082	0.042	-0.077	0.006	-0.013	-0.059	-0.025	-0.043	-0.053	0.010	-0.025	-0.064	0.032	0.004	-0.035	0.031	-0.004	-0.017	-0.032	0.014	-0.062	0.016	0.026	0.034	0.020	0.031	0.002	-0.044	-0.065	-0.057	-0.013	0.010	-0.048	-0.093	-0.094	-0.091	0.067	0.010	0.011	0.051	0.007	0.023	0.090	-0.014	0.009	0.143	0.071	-0.059	0.043	-0.032	-0.018	0.021	-0.007	-0.006	0.023	-0.011	-0.012	-0.004	-0.014	-0.059	-0.005	-0.446	-0.024	0.010	-0.014	-0.044	0.020	0.013	0.025	0.010	-0.005	-0.031	-0.020	-0.008	-0.034	-0.041	-0.026	-0.034	-0.027	-0.026	-0.021
BT-549	0.874	0.732	0.341	0.627	0.379	0.532	0.808	0.521	0.165	-0.037	-0.019	0.012	-0.049	-0.022	-0.066	0.096	0.013	-0.061	-0.010	-0.071	-0.082	-0.010	-0.038	-0.084	0.791	0.799	0.482	0.043	-0.092	-0.128	0.375	0.134	0.071	0.452	0.249	0.130	-0.139	-0.053	-0.093	-0.070	-0.095	0.043	-0.072	-0.120	-0.102	0.354	0.229	0.161	0.202	0.100	0.098	0.260	0.199	0.114	0.043	0.064	0.061	0.138	0.189	0.106	0.284	0.352	0.264	0.182	0.186	0.186	0.048	0.016	-0.031	0.386	0.409	0.253	0.043	0.014	-0.013	0.043	0.036	0.013	-0.029	-0.021	-0.028	0.011	-0.004	-0.036	-0.047	-0.026	-0.077	0.022	0.040	0.004	0.180	0.151	0.018	0.067	0.042	0.027	0.138	0.131	0.019	0.186	0.032	0.019	0.098	0.023	0.083	0.070	0.050	-0.014	0.064	0.032	0.079	0.074	0.023	-0.022	0.131	0.186	-0.024	0.096	0.058	-0.008	0.047	0.038	-0.010	0.024	-0.013	-0.005	-0.001	-0.024	-0.064	-0.019	-0.022	-0.018	-0.057	-0.062	-0.005	0.002	0.036	0.014	0.023	0.030	0.030	0.024	0.025	0.026	-0.004	0.034	0.022	0.000	0.010	-0.067	-0.020	-0.004	0.001	-0.024	0.005	-0.056	-0.009	-0.018	-0.031	0.019	0.008	-0.081	0.033	0.002	0.036	-0.023	0.007	0.012	-0.079	-0.026	-0.047	-0.093	-0.094	-0.047	-0.048	-0.007	-0.073	-0.052	-0.060	-0.062
CAMA-1	1.104	0.767	0.694	0.985	0.657	0.585	1.666	1.358	0.994	1.730	1.605	1.481	0.048	0.063	-0.051	0.046	0.029	-0.031	0.008	0.007	-0.029	0.004	0.002	-0.092	0.041	0.015	-0.092	-0.012	-0.028	-0.079	1.341	1.048	0.966	1.397	1.375	1.343	0.117	-0.103	-0.177	-0.102	-0.010	-0.089	-0.009	0.021	-0.051	0.097	0.148	0.153	0.105	0.109	0.127	0.238	0.260	0.262	0.325	0.372	0.353	0.028	0.081	0.072	-0.002	0.039	0.073	0.005	0.004	0.018	-0.028	-0.035	-0.044	-0.001	0.005	-0.022	-0.044	-0.009	0.015	0.030	0.088	0.038	0.048	0.099	0.086	0.004	0.063	0.029	-0.012	-0.010	0.018	0.016	0.038	-0.004	0.050	-0.026	-0.051	0.071	0.014	-0.050	0.223	0.099	-0.029	0.283	0.069	0.027	-0.048	-0.040	-0.025	-0.039	-0.039	-0.034	-0.025	-0.030	-0.021	0.002	0.015	-0.005	-0.007	-0.004	-0.005	-0.013	-0.030	-0.002	0.121	0.033	0.004	0.129	0.054	0.049	-0.030	-0.037	-0.095	0.004	0.037	0.008	-0.030	-0.035	-0.048	0.023	-0.000	0.015	0.012	0.018	-0.003	0.184	0.062	-0.014	0.196	0.083	0.054	-0.009	-0.013	-0.020	0.002	-0.012	0.053	-0.019	-0.016	-0.031	-0.013	-0.035	0.001	-0.015	-0.040	-0.029	-0.124	0.020	-0.052	0.038	0.248	0.568	0.049	0.065	0.074	-0.023	0.018	-0.050	-0.004	-0.035	0.001	-0.034	-0.019	-0.032
HCC1187	1.510	1.469	1.350	1.423	1.356	1.265	1.538	1.489	1.259	1.087	0.625	0.439	0.024	0.070	-0.003	0.006	0.013	-0.045	0.002	0.021	-0.029	0.270	0.057	-0.008	0.851	0.613	0.287	1.244	0.321	0.087	1.508	1.363	1.113	1.501	1.432	1.382	-0.001	0.009	-0.024	-0.028	0.045	-0.008	-0.043	-0.038	-0.034	0.425	0.429	0.350	0.304	0.290	0.246	0.414	0.391	0.247	0.185	0.150	0.085	0.400	0.486	0.457	0.142	0.253	0.347	0.196	0.315	0.430	0.013	0.047	-0.027	0.023	0.072	0.015	0.276	0.224	0.098	0.410	0.434	0.339	0.385	0.400	0.406	-0.037	-0.043	-0.099	-0.077	-0.014	-0.088	-0.034	-0.047	-0.059	0.301	0.219	-0.020	0.140	0.077	-0.031	0.359	0.154	0.026	0.070	0.054	-0.016	-0.046	-0.023	-0.023	0.017	0.009	-0.034	0.023	-0.006	-0.033	0.016	0.010	-0.011	0.003	0.009	-0.032	0.075	0.002	-0.046	0.159	0.069	-0.006	0.205	0.102	0.039	-0.078	-0.032	-0.104	0.040	0.010	0.003	-0.067	-0.087	-0.125	0.209	0.122	0.026	0.043	0.054	0.013	0.164	0.103	0.013	0.002	0.006	-0.006	-0.057	0.243	-0.026	-0.042	-0.010	0.062	-0.045	-0.024	-0.024	-0.035	0.079	-0.029	0.003	0.016	0.001	-0.008	0.001	-0.027	0.031	0.032	-0.003	0.035	0.039	0.025	-0.047	-0.019	-0.046	-0.029	-0.015	-0.015	-0.038	-0.043	-0.024
HCC1395	0.997	0.902	0.535	0.953	0.861	0.733	1.036	0.865	0.396	0.007	0.020	-0.019	-0.071	-0.091	-0.131	-0.024	-0.047	-0.032	-0.021	-0.067	-0.069	0.022	0.023	-0.003	0.822	0.603	0.233	-0.032	-0.023	-0.063	0.724	0.326	0.083	0.772	0.527	0.405	-0.021	0.037	-0.099	-0.033	-0.025	-0.037	0.120	0.011	-0.122	0.262	0.272	0.216	0.210	0.204	0.203	0.174	0.280	0.171	-0.016	-0.021	-0.000	0.049	0.113	0.113	0.111	0.213	0.224	0.009	0.068	0.160	0.014	0.025	0.019	0.195	0.216	0.161	-0.012	-0.008	-0.025	0.001	0.037	0.003	-0.048	0.018	0.010	0.007	0.033	0.015	-0.040	-0.032	-0.013	0.034	0.009	-0.008	0.085	0.023	-0.000	0.036	-0.007	0.000	0.073	0.042	0.038	0.003	-0.029	-0.010	-0.027	-0.021	-0.050	-0.019	-0.003	-0.019	0.009	-0.010	-0.040	0.032	0.027	-0.010	0.019	0.041	-0.006	-0.012	0.010	-0.026	0.038	0.016	0.052	-0.007	0.017	0.003	-0.065	-0.025	-0.100	-0.023	0.031	-0.024	0.013	-0.011	-0.019	0.058	0.086	0.070	0.111	0.044	0.012	0.055	0.062	0.010	-0.000	0.012	0.035	-0.004	-0.038	0.002	-0.029	-0.035	-0.036	-0.020	-0.029	-0.050	-0.033	-0.058	-0.045	-0.008	-0.023	-0.031	-0.016	-0.048	-0.049	0.008	0.025	-0.020	-0.009	-0.003	-0.036	-0.035	-0.113	-0.049	-0.031	-0.089	-0.039	-0.039	-0.018	-0.030
HCC1419	0.141	0.041	0.015	0.117	0.022	0.006	0.232	0.169	0.107	0.370	0.325	0.243	-0.002	-0.002	-0.026	-0.007	0.006	-0.019	-0.043	0.008	-0.019	0.000	-0.001	-0.010	0.020	0.008	-0.018	0.006	-0.007	-0.034	0.136	0.056	0.053	0.166	0.106	0.066	-0.066	-0.064	-0.074	-0.026	-0.006	-0.035	-0.078	-0.093	-0.109	0.043	0.060	0.076	0.059	0.059	0.051	0.188	0.228	0.260	0.287	0.311	0.284	-0.013	-0.003	-0.011	0.003	0.005	0.012	-0.003	0.003	-0.014	-0.015	0.005	-0.014	0.004	0.000	-0.018	0.005	-0.007	-0.014	0.012	0.040	0.026	-0.035	0.035	0.029	-0.069	-0.044	-0.057	-0.021	-0.008	-0.032	-0.024	-0.019	-0.011	-0.012	0.034	-0.014	-0.005	0.018	0.003	0.069	0.039	0.031	0.126	0.147	0.071	-0.066	-0.064	-0.140	-0.003	-0.059	-0.148	-0.002	-0.077	-0.115	-0.012	-0.011	-0.099	-0.006	-0.024	-0.105	-0.005	0.010	-0.072	0.053	0.007	0.019	0.006	0.039	-0.015	-0.085	-0.088	-0.229	-0.007	-0.010	-0.109	-0.063	-0.026	-0.037	-0.011	0.100	0.023	-0.074	0.031	0.051	0.018	0.047	-0.022	0.068	0.037	-0.002	0.038	0.061	0.016	0.043	0.039	-0.049	0.023	0.025	-0.029	-0.018	0.022	-0.004	0.050	0.007	0.007	0.026	-0.000	-0.004	0.018	0.017	0.009	-0.046	0.041	0.018	0.051	-0.043	-0.043	-0.002	0.011	-0.000	-0.018	0.034	0.000
