.	GI50(AG1478)	Profile	GF pErk EGF:100 m	GF pErk EPR:100 m	GF pErk BTC:100 m	GF pErk HRG:100 m	GF pErk INS:100 m	GF pErk IGF-1:100 m	GF pErk IGF-2:100 m	GF pErk PDGFBB:100 m	GF pErk HGF:100 m	GF pErk SCF:100 m	GF pErk FGF1:100 m	GF pErk FGF2:100 m	GF pErk NGF:100 m	GF pErk EFNA1:100 m	GF pErk VEGFF:100 m	GF pAkt EGF:100 m	GF pAkt EPR:100 m	GF pAkt BTC:100 m	GF pAkt HRG:100 m	GF pAkt INS:100 m	GF pAkt IGF-1:100 m	GF pAkt IGF-2:100 m	GF pAkt PDGFBB:100 m	GF pAkt HGF:100 m	GF pAkt SCF:100 m	GF pAkt FGF1:100 m	GF pAkt FGF2:100 m	GF pAkt NGF:100 m	GF pAkt EFNA1:100 m	GF pAkt VEGFF:100 m	GF pP38 EGF:100 m	GF pP38 EPR:100 m	GF pP38 BTC:100 m	GF pP38 HRG:100 m	GF pP38 INS:100 m	GF pP38 IGF-1:100 m	GF pP38 IGF-2:100 m	GF pP38 PDGFBB:100 m	GF pP38 HGF:100 m	GF pP38 SCF:100 m	GF pP38 FGF1:100 m	GF pP38 FGF2:100 m	GF pP38 NGF:100 m	GF pP38 EFNA1:100 m	GF pP38 VEGFF:100 m	GF pJNK EGF:100 m	GF pJNK EPR:100 m	GF pJNK BTC:100 m	GF pJNK HRG:100 m	GF pJNK INS:100 m	GF pJNK IGF-1:100 m	GF pJNK IGF-2:100 m	GF pJNK PDGFBB:100 m	GF pJNK HGF:100 m	GF pJNK SCF:100 m	GF pJNK FGF1:100 m	GF pJNK FGF2:100 m	GF pJNK NGF:100 m	GF pJNK EFNA1:100 m	GF pJNK VEGFF:100 m
AU-565	-4.885	HER2amp	4.308	4.311	4.297	4.256	3.805	3.792	3.799	3.865	4.230	3.787	3.916	3.963	3.784	3.867	3.802	3.794	3.773	3.851	3.863	3.607	3.599	3.573	3.567	3.729	3.555	3.578	3.550	3.503	3.557	3.563	3.018	3.007	3.021	2.940	2.767	2.728	2.749	2.796	2.846	2.761	2.766	2.738	2.730	2.748	2.699	2.398	2.388	2.382	2.342	2.188	2.215	2.196	2.179	2.298	2.249	2.188	2.186	2.199	2.198	2.186
BT-20	-5.696	TNBC	3.843	3.877	3.835	3.711	3.035	2.986	2.985	2.982	3.766	2.946	3.245	3.107	2.860	2.980	2.820	3.428	3.448	3.446	3.478	3.231	3.326	3.307	3.250	3.391	3.234	3.281	3.228	3.222	3.208	3.202	2.442	2.419	2.407	2.344	2.363	2.414	2.338	2.327	2.387	2.348	2.337	2.357	2.343	2.319	2.362	2.131	2.100	2.094	2.027	2.037	2.036	2.032	2.021	2.036	2.041	2.004	2.013	2.025	2.040	2.028
BT-474	-4.977	HER2amp	3.455	3.535	3.601	3.790	3.006	2.969	2.998	2.976	3.260	3.046	3.181	3.293	2.984	3.027	2.943	3.550	3.557	3.811	3.882	3.385	3.411	3.395	3.375	3.415	3.411	3.391	3.368	3.353	3.350	3.370	2.422	2.438	2.465	2.508	2.340	2.345	2.351	2.365	2.379	2.375	2.386	2.364	2.336	2.335	2.314	2.027	2.045	2.015	2.094	1.996	1.941	1.943	2.040	2.074	1.974	2.016	2.019	2.046	2.036	2.033
BT-483	-4.176	HR+	3.805	3.685	3.763	4.343	2.932	3.010	2.981	2.971	3.017	2.970	3.867	3.905	2.843	2.900	2.893	3.151	3.090	3.380	3.635	3.002	3.081	3.010	2.974	2.982	2.965	3.073	3.037	2.959	2.934	2.940	2.793	2.804	2.797	2.811	2.774	2.755	2.769	2.796	2.799	2.769	2.821	2.813	2.740	2.779	2.703	2.430	2.428	2.430	2.453	2.399	2.404	2.401	2.375	2.243	2.385	2.420	2.393	2.380	2.368	2.376
BT-549	-4.378	TNBC	3.333	3.197	3.182	2.669	2.638	2.700	2.630	2.640	3.375	2.625	2.877	2.961	2.589	2.643	2.586	3.077	2.962	3.020	2.884	2.973	3.128	3.013	2.839	3.178	2.843	2.859	2.803	2.819	2.778	2.851	2.231	2.160	2.211	2.194	2.183	2.150	2.173	2.140	2.213	2.163	2.140	2.117	2.085	2.095	2.073	2.022	2.033	2.030	2.023	1.986	1.998	1.981	1.986	1.987	2.029	2.004	1.955	1.928	1.963	1.947
CAMA-1	-4.176	HR+	3.343	3.230	3.827	4.093	2.508	2.502	2.483	2.459	2.476	2.448	3.606	3.859	2.434	2.421	2.475	3.706	3.687	3.827	3.924	3.634	3.610	3.583	3.538	3.568	3.561	3.626	3.651	3.606	3.572	3.591	2.732	2.753	2.839	2.867	2.703	2.704	2.716	2.745	2.736	2.726	2.794	2.818	2.687	2.757	2.704	2.219	2.215	2.284	2.317	2.192	2.220	2.184	2.191	2.178	2.154	2.491	2.269	2.188	2.194	2.178
HCC1187	-5.124	TNBC	3.818	3.723	3.804	3.092	2.406	2.367	2.373	2.481	2.959	2.926	3.703	3.814	2.370	2.378	2.337	3.682	3.561	3.632	3.421	3.729	3.528	3.594	3.292	3.318	3.480	3.675	3.678	3.221	3.221	3.234	3.079	2.975	3.093	2.949	2.882	2.910	2.907	2.918	2.906	2.923	2.987	3.028	2.841	2.931	2.820	2.252	2.169	2.226	2.133	2.186	2.137	2.102	2.138	2.140	2.122	2.153	2.166	2.095	2.113	2.098
HCC1395	-4.400	TNBC	3.682	3.720	3.636	2.873	2.773	2.837	2.818	2.885	3.423	2.831	3.248	3.439	2.843	2.839	2.874	3.610	3.566	3.568	3.347	3.451	3.542	3.439	3.379	3.550	3.345	3.373	3.353	3.378	3.331	3.371	2.737	2.711	2.752	2.689	2.668	2.687	2.687	2.718	2.719	2.692	2.736	2.705	2.638	2.696	2.695	2.329	2.314	2.300	2.273	2.245	2.224	2.225	2.213	2.237	2.220	2.262	2.242	2.193	2.205	2.229
HCC1419	-4.969	HER2amp	4.068	4.051	4.172	4.315	3.993	3.996	3.985	3.999	4.006	3.991	4.084	4.115	3.934	3.981	3.909	3.846	3.843	4.012	4.080	3.778	3.793	3.782	3.779	3.782	3.781	3.812	3.796	3.730	3.766	3.769	2.878	2.881	2.922	2.990	2.785	2.806	2.811	2.835	2.831	2.853	2.902	2.886	2.742	2.834	2.834	2.788	2.754	2.765	2.785	2.790	2.762	2.757	2.751	2.772	2.758	2.765	2.755	2.739	2.754	2.756
HCC1428	-4.748	HR+	3.590	3.376	3.530	3.837	2.193	2.291	2.219	2.185	2.243	2.176	3.164	3.519	2.241	2.210	2.205	2.323	2.327	2.325	3.151	2.225	2.410	2.262	2.173	2.193	2.220	2.218	2.288	2.232	2.223	2.275	2.622	2.456	2.604	2.697	2.383	2.394	2.390	2.413	2.403	2.389	2.485	2.500	2.412	2.419	2.444	1.978	1.958	1.887	1.947	1.930	1.875	1.884	1.518	1.898	1.573	1.965	1.971	1.956	1.597	1.945
