.	GI50(AG1478)	Subtype	GF pErk FGF1:100 @T10	GF pErk FGF1:100 @T30	GF pErk FGF1:100 @T90	GF pAkt IGF-1:100 @T10	GF pAkt IGF-1:100 @T30	GF pAkt IGF-1:100 @T90
184B5	0.0	TNBC	0.353	0.105	0.053	0.526	0.491	0.487
AU-565	-4.885	HER2amp	0.191	0.019	0.031	0.016	0.039	0.044
BT-20	-5.696	TNBC	0.550	0.200	0.122	0.046	0.111	0.074
BT-474	-4.977	HER2amp	0.413	0.222	0.103	0.043	0.065	0.009
BT-483	-4.176	HR+	1.134	0.857	0.889	0.063	0.070	0.074
BT-549	-4.378	TNBC	0.375	0.134	0.071	0.284	0.352	0.264
CAMA-1	-4.176	HR+	1.341	1.048	0.966	-0.002	0.039	0.073
HCC1187	-5.124	TNBC	1.508	1.363	1.113	0.142	0.253	0.347
HCC1395	-4.400	TNBC	0.724	0.326	0.083	0.111	0.213	0.224
HCC1419	-4.969	HER2amp	0.136	0.056	0.053	0.003	0.005	0.012
HCC1428	-4.748	HR+	1.553	0.766	0.625	0.208	0.155	0.174
HCC1500	0.0	HR+	1.350	1.221	1.077	0.053	0.047	0.075
HCC1569	0.0	HER2amp	0.678	0.339	0.205	0.239	0.236	0.207
HCC1806	-5.373	TNBC	0.837	0.712	0.595	0.530	0.528	0.495
HCC1937	-4.408	TNBC	1.044	0.506	0.506	0.374	0.367	0.342
HCC1954	-5.507	HER2amp	0.217	0.035	0.032	0.033	0.038	0.012
HCC202	-4.433	HER2amp	0.387	0.107	-0.016	0.080	0.074	0.086
HCC38	-4.176	TNBC	1.055	0.565	0.397	0.349	0.287	0.270
HCC70	-5.764	TNBC	0.296	0.123	0.002	0.047	0.066	0.084
Hs 578T	0.0	TNBC	0.535	0.757	0.382	0.019	0.155	0.122
MCF 10A	0.0	TNBC	0.427	0.043	0.020	0.808	0.809	0.607
MCF 10F	0.0	TNBC	0.527	0.129	0.029	0.463	0.379	0.349
MCF-12A	0.0	TNBC	0.618	0.390	0.283	0.636	0.539	0.374
MCF7__b	-4.176	HR+	1.195	1.168	1.136	0.983	0.947	0.900
MDA-MB-134-VI	-4.176	HR+	0.967	0.935	0.775	0.674	0.607	0.469
MDA-MB-157	-4.301	TNBC	0.820	0.198	0.031	0.729	0.648	0.450
MDA-MB-175-VII	-5.505	HR+	-0.003	0.007	0.001	0.016	0.022	0.052
MDA-MB-231__a	-4.399	TNBC	0.391	0.207	0.086	0.412	0.383	0.249
MDA-MB-361	-4.186	HER2amp	1.131	0.932	0.790	0.768	0.814	0.796
MDA-MB-415	0.0	HR+	0.979	0.525	0.483	-0.062	-0.023	0.022
MDA-MB-436	-4.256	TNBC	0.594	0.468	0.115	0.122	0.137	0.122
MDA-MB-453	-4.352	TNBC	0.520	0.384	0.163	0.021	0.012	0.007
SK-BR-3__a	-4.798	HER2amp	0.400	0.118	0.013	0.114	0.128	0.008
T47D	-4.301	HR+	0.882	0.575	0.556	0.321	0.341	0.301
UACC-812	-4.911	HER2amp	0.098	0.017	0.038	-0.046	-0.044	-0.022
UACC-893	-4.908	HER2amp	0.112	-0.104	0.007	-0.119	-0.044	-0.090
ZR-75-1	-4.176	HR+	1.112	0.908	0.881	0.770	0.606	0.505
ZR-75-30	0.0	HER2amp	0.036	0.027	0.068	0.024	-0.010	-0.033
