	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	Valproic acid	VX-680	5-FU	Gemcitabine	BEZ235	5-FdUR	AS-252424	Ibandronate sodium salt	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Methyl Glyoxol	Z-Leu-Leu-Leu-al	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	2-deoxy-D-glucose	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	Celecoxib(Celebrex)	LY294002	CI1040	UO126
MCF12A	5.41E-07	5.66E-06	4.23E-05	1.97E-05	3.66E-07	3.58E-07	5.97E-06	4.07E-08	1.07E-08	1.89E-03	1.71E-04	7.46E-09	6.61E-05	1.85E-08	3.40E-07	1.91E-07	7.04E-05	8.37E-08	6.42E-06	8.89E-05	2.57E-09	1.77E-06	2.27E-05	3.30E-08	1.62E-06	4.58E-08	6.72E-07	1.66E-05	2.40E-05	1.81E-06	3.28E-07	6.85E-07	9.73E-06	2.05E-07	4.64E-07	1.74E-06	1.74E-06	1.67E-04	4.33E-05	0.0018082	4.64E-07	1.52E-05	6.69E-08	4.69E-07	1.38E-05	2.10E-05	1.87E-04	4.46E-07	4.84E-08	2.00E-04	6.06E-06	5.00E-05	6.91E-07	3.33E-06	1.28E-05	2.60E-08	6.67E-05	1.94E-07	1.03E-05	1.07E-05	7.52E-06	1.08E-05	6.92E-08	1.24E-08	1.26E-05	1.03E-06	2.16E-07	1.57E-05	5.55E-08	1.00E-04	9.26E-06	4.04E-06	8.69E-08	8.30E-06	1.35E-05	2.18E-05	9.94E-08	7.95E-06	5.72E-06	5.57E-08	1.07E-05	5.08E-04	4.84E-08	7.20E-06	3.33E-05	3.60E-08	3.33E-05	3.33E-05	3.33E-05	1.28E-05	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MCF10A	1.07E-06	6.99E-06	4.33E-05	1.52E-05	3.70E-06	3.73E-07	4.05E-08	2.31E-07	9.33E-09	1.89E-03	2.09E-04	7.93E-09	7.87E-06	5.85E-09	1.56E-06	2.92E-03	5.08E-05	4.54E-07	5.37E-06	6.30E-05	2.34E-09	3.87E-06	1.27E-05	3.99E-08	2.00E-06	1.62E-07	6.73E-07	1.95E-05	4.92E-05	3.18E-06	3.40E-08	5.22E-07	4.57E-06	1.94E-07	5.46E-07	2.26E-06	7.30E-07	8.97E-05	2.71E-05	0.00107	9.08E-07	1.11E-05	1.99E-08	5.48E-08	1.38E-05	6.67E-05	4.09E-04	1.45E-07	6.23E-08	2.00E-04	3.06E-06	5.00E-05	1.27E-06	3.33E-06	6.96E-05	5.92E-08	3.33E-05	8.51E-08	1.34E-06	1.19E-05	3.33E-05	1.17E-05	2.23E-07	3.74E-08	5.24E-06	1.41E-06	2.81E-07	4.74E-06	1.94E-07	3.33E-05	4.19E-07	2.76E-06	3.26E-08	4.50E-06	8.28E-07	1.05E-05	1.25E-07	9.52E-06	7.69E-06	9.83E-08	9.41E-06	4.99E-04	6.40E-08	7.20E-06	3.33E-05	1.45E-08	3.33E-05	3.33E-05	3.26E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC1143	5.72E-05	2.62E-05	2.92E-05	1.71E-05	5.12E-06	2.76E-07	2.38E-08	7.62E-09	1.59E-08	1.89E-03	1.25E-04	9.75E-09	9.06E-06	7.91E-08	1.15E-05	2.92E-03	1.67E-04	5.32E-07	6.98E-06	1.32E-04	8.76E-09	1.98E-05	7.33E-06	1.38E-07	1.31E-05	2.51E-07	1.17E-05	7.00E-05	5.90E-05	9.68E-07	3.83E-09	6.85E-07	1.35E-05	5.00E-05	3.34E-07	1.99E-06	5.21E-07	1.00E-04	1.33E-04	0.00221	1.01E-06	1.72E-04	1.21E-08	3.33E-05	8.37E-05	6.67E-05	4.17E-05	8.10E-08	1.58E-07	2.00E-04	3.10E-06	1.00E-04	2.70E-07	3.33E-06	5.19E-05	2.62E-07	3.33E-05	5.00E-05	3.33E-05	4.11E-05	8.43E-07	1.13E-07	1.67E-04	3.21E-07	9.00E-06	4.88E-06	2.04E-06	1.36E-05	2.63E-07	2.53E-05	1.59E-06	5.01E-06	1.38E-06	8.52E-06	1.47E-06	1.21E-05	5.00E-07	1.23E-05	1.13E-05	1.11E-07	6.21E-05	4.11E-04	3.57E-07	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC1428	1.79E-05	8.70E-06	1.59E-05	1.85E-06	3.42E-05	3.71E-08	3.33E-04	5.25E-08	2.64E-08	1.89E-03	3.78E-05	5.95E-08	4.66E-05	2.84E-08	4.14E-07	2.92E-03	6.68E-05	5.16E-08	5.09E-06	1.38E-04	1.69E-08	8.09E-06	6.84E-06	4.12E-09	2.28E-05	1.21E-06	1.08E-05	3.89E-05	4.59E-05	6.67E-05	1.63E-08	6.85E-07	4.46E-06	5.00E-05	5.00E-07	3.61E-06	4.65E-07	5.71E-05	8.18E-05	0.0007339	7.83E-06	1.02E-05	2.62E-04	3.08E-06	9.02E-05	4.61E-06	1.29E-04	1.05E-07	3.44E-07	2.00E-04	5.07E-06	1.00E-04	7.82E-07	3.33E-06	3.23E-06	4.48E-07	3.33E-05	5.00E-05	6.67E-05	1.07E-05	2.73E-05	1.08E-05	1.67E-04	2.17E-06	6.67E-05	3.75E-06	1.41E-06	1.36E-05	1.33E-06	2.73E-05	5.68E-06	3.96E-06	1.74E-06	2.86E-06	8.77E-06	6.70E-06	6.21E-07	8.33E-06	9.68E-06	5.46E-07	7.28E-07	1.38E-03	3.11E-07	7.20E-06	5.87E-08	       NA	3.33E-05	3.33E-05	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC1569	1.67E-05	3.33E-05	1.77E-05	8.68E-06	6.31E-05	4.70E-07	3.33E-04	7.51E-09	1.11E-08	1.89E-03	1.04E-04	2.82E-07	7.83E-06	3.41E-08	3.33E-05	2.92E-03	2.00E-05	1.98E-07	7.19E-06	1.09E-04	7.53E-09	4.42E-06	3.33E-05	1.43E-07	2.41E-05	2.59E-06	6.48E-06	4.69E-05	5.37E-05	4.85E-06	4.24E-09	6.85E-07	8.50E-06	5.00E-05	6.48E-07	4.33E-06	1.32E-06	1.67E-04	4.71E-05	0.0017071	2.07E-06	1.09E-04	1.75E-07	4.66E-07	4.18E-04	2.90E-05	6.19E-05	1.55E-07	2.09E-07	2.00E-04	5.22E-06	5.00E-05	4.90E-07	3.33E-06	1.67E-04	1.58E-06	6.67E-05	5.00E-05	3.33E-05	1.68E-05	2.04E-06	6.67E-05	5.52E-06	3.83E-07	6.16E-06	1.74E-06	2.52E-05	1.61E-05	8.64E-07	1.00E-04	3.22E-06	3.28E-06	2.76E-07	3.21E-06	7.16E-06	6.14E-06	4.55E-07	3.23E-05	2.65E-05	3.24E-07	1.85E-04	1.05E-03	2.47E-07	7.20E-06	      NA	4.09E-08	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MCF10F	2.89E-07	4.66E-06	1.93E-05	6.05E-05	7.45E-07	2.60E-07	9.92E-08	2.56E-08	8.36E-09	1.89E-03	8.32E-04	8.38E-09	3.80E-06	7.18E-09	1.34E-07	2.92E-03	1.84E-05	3.64E-06	4.09E-06	3.92E-05	2.55E-09	4.47E-06	1.03E-05	3.17E-08	6.54E-06	2.29E-07	6.97E-07	1.67E-04	3.45E-05	3.54E-06	3.30E-08	6.85E-07	3.81E-06	2.38E-06	1.89E-06	2.54E-06	3.86E-06	1.00E-04	1.33E-04	0.00378	1.02E-05	4.30E-06	8.34E-08	3.33E-05	4.60E-05	3.33E-05	1.54E-04	9.12E-07	7.32E-08	2.00E-04	9.23E-06	5.00E-05	2.37E-06	3.33E-06	1.67E-04	2.13E-07	3.33E-05	5.00E-05	3.33E-05	1.20E-05	1.00E-04	6.67E-05	2.03E-07	1.78E-08	6.67E-05	1.79E-06	1.33E-04	9.99E-06	4.81E-07	8.07E-05	7.76E-07	4.27E-06	9.82E-08	7.12E-06	9.94E-07	8.20E-06	2.29E-07	3.18E-05	3.65E-05	3.67E-07	1.33E-04	2.49E-04	7.28E-08	6.13E-06	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
BT474	1.05E-05	3.33E-05	3.02E-05	9.71E-06	2.32E-05	1.85E-07	3.33E-04	5.72E-09	1.02E-08	1.89E-03	5.31E-05	3.80E-09	3.78E-05	1.44E-08	6.76E-07	2.92E-03	1.67E-04	2.42E-08	1.66E-05	1.06E-04	6.34E-09	1.86E-05	1.27E-05	1.46E-06	2.04E-05	3.08E-07	7.21E-07	4.97E-05	6.91E-05	3.13E-07	5.36E-09	6.85E-07	8.32E-07	5.00E-05	2.46E-07	2.73E-06	2.71E-07	1.03E-05	1.33E-04	0.000941	1.44E-05	1.77E-04	1.31E-05	2.26E-07	4.22E-04	3.90E-06	1.04E-04	3.50E-08	1.78E-07	2.00E-04	6.28E-06	2.62E-05	6.15E-07	3.33E-06	2.39E-06	2.53E-06	6.67E-05	5.00E-05	3.33E-05	1.62E-05	5.11E-05	6.67E-05	6.70E-07	4.77E-08	6.67E-05	1.94E-06	2.46E-05	1.61E-05	6.75E-06	2.06E-05	2.69E-08	5.41E-06	5.85E-09	6.67E-05	3.04E-08	8.48E-06	6.09E-07	1.28E-05	2.21E-05	1.59E-07	4.05E-07	4.78E-04	4.37E-07	       NA	3.02E-08	7.96E-08	3.33E-05	3.33E-05	3.33E-05	1.13E-05	1.28E-06	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
SUM1315MO2	9.27E-06	6.27E-06	2.33E-05	4.87E-05	2.44E-07	4.15E-07	3.33E-04	1.78E-08	5.08E-09	1.89E-03	1.69E-04	6.08E-09	1.76E-06	2.00E-08	2.05E-06	2.92E-03	8.14E-06	2.77E-06	7.50E-06	2.72E-05	1.94E-09	1.37E-05	3.33E-05	1.90E-08	4.62E-06	1.88E-07	1.49E-06	2.83E-05	2.81E-05	6.67E-05	1.94E-09	8.27E-09	4.57E-06	2.67E-06	3.56E-08	1.09E-06	2.30E-06	9.65E-05	1.77E-05	0.0024189	1.60E-06	4.28E-04	1.24E-07	3.20E-07	6.59E-04	1.19E-05	5.15E-05	2.42E-07	1.21E-07	2.00E-04	3.35E-06	5.00E-05	3.07E-07	3.33E-06	3.50E-05	8.37E-09	6.67E-05	4.46E-07	2.54E-05	2.05E-05	5.00E-05	4.41E-07	8.40E-07	2.23E-09	7.09E-06	7.53E-07	7.30E-07	3.84E-06	3.63E-08	1.94E-05	8.74E-07	1.54E-06	1.62E-07	8.09E-07	5.95E-06	3.38E-06	1.17E-07	4.67E-06	2.97E-06	2.73E-08	7.85E-07	6.00E-04	1.14E-07	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC38	6.67E-05	3.33E-05	3.53E-05	5.97E-06	2.89E-07	2.73E-07	3.33E-04	1.04E-08	7.34E-09	1.89E-03	3.35E-05	2.83E-09	1.65E-06	2.75E-08	2.83E-06	2.92E-03	1.67E-04	4.91E-08	5.71E-06	1.74E-05	2.02E-09	3.71E-06	1.67E-05	5.71E-08	7.25E-07	7.17E-08	1.76E-05	3.02E-05	8.55E-05	3.32E-07	1.73E-08	6.85E-07	1.27E-05	5.00E-05	8.70E-08	2.31E-06	1.70E-07	4.90E-05	1.12E-04	0.0008865	1.80E-07	1.91E-04	6.77E-09	3.33E-05	1.62E-04	6.67E-05	4.98E-05	3.51E-08	2.53E-07	9.33E-05	2.92E-06	5.14E-05	1.16E-07	3.33E-06	5.26E-05	2.46E-09	3.33E-05	2.98E-07	3.33E-05	1.71E-05	6.11E-07	1.10E-06	1.25E-04	1.15E-08	1.09E-06	8.86E-07	1.69E-06	9.36E-06	8.53E-08	5.82E-05	1.23E-05	3.54E-06	1.82E-06	3.88E-06	5.67E-07	3.35E-06	5.43E-07	3.70E-07	6.60E-07	5.84E-09	2.27E-06	       NA	2.98E-07	7.20E-06	7.42E-08	1.32E-07	3.33E-05	3.33E-05	       NA	1.36E-05	2.29E-04	6.67E-05	3.33E-05	3.33E-05	      NA	1.33E-04	1.67E-03	   NA	      NA	      NA
SUM229PE	1.13E-05	7.26E-06	5.35E-06	1.49E-05	9.13E-07	3.09E-07	3.33E-04	3.29E-08	1.91E-08	1.89E-03	9.59E-05	1.89E-09	5.53E-06	1.22E-08	4.13E-06	2.98E-05	1.22E-05	1.37E-05	3.49E-06	5.41E-05	1.15E-08	1.89E-06	1.46E-05	2.75E-08	6.92E-06	1.90E-07	6.21E-06	8.33E-05	9.94E-06	2.07E-06	2.59E-09	6.85E-07	1.15E-05	7.35E-08	3.33E-07	5.45E-06	1.80E-06	1.00E-04	2.67E-05	0.00223	3.35E-07	8.35E-05	5.04E-08	2.14E-07	6.88E-05	6.67E-05	5.39E-05	2.68E-07	1.04E-07	2.00E-04	7.40E-06	5.00E-05	1.20E-06	3.33E-06	2.40E-06	6.29E-08	3.33E-05	7.20E-07	5.62E-07	2.99E-05	1.18E-06	3.14E-05	1.67E-04	2.08E-09	4.94E-06	1.32E-06	2.53E-07	8.02E-06	2.41E-07	3.33E-05	1.34E-05	1.01E-06	1.13E-06	1.66E-06	1.77E-05	8.67E-06	3.98E-07	2.94E-05	2.00E-05	2.12E-07	       NA	4.70E-04	2.52E-07	       NA	      NA	3.98E-08	      NA	      NA	       NA	1.35E-05	7.09E-04	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
